Human	Virus
P15311	P03485
P49736	P03466
P49736	P03428
P35520	P06821
P02511	P03428
O14641	P03428
O14641	P06821
O14641	P03431
Q92997	P06821
Q92997	P03428
Q92997	P03485
Q06547	P03431
O00505	P03433
O00505	P03466
O14639	P03433
P43360	P03466
P43360	P03428
P43364	P03466
P43364	P03431
P50222	P03433
P50222	P03485
P50222	P06821
P50222	P03468
Q13126	P03466
Q16656	P03431
P45984	P03496
Q99942	P03433
Q8IUQ4	P03431
O95793	P03496
Q99081	P03428
Q12800	P03431
Q12800	P03485
Q12800	P06821
Q13077	P03466
P63279	P03496
P10746	P03433
Q13155	P03508
O14503	P03431
O75569	P03485
P51116	P03496
P51116	P03431
Q9Y5P4	P03452
O75608	P03496
O43889	P03468
O43889	P03452
O75525	P03496
Q93062	P03431
Q9UKT9	P03431
O60684	P03466
Q9UJ41	P03428
Q9NZF1	P03431
Q9UJC3	P03428
Q8N9N5	P03428
Q7LBR1	P03433
Q96AT1	P03496
Q9HA38	P03496
Q96IK5	P03466
Q96T21	P03433
Q96FZ7	P03433
Q9H898	P03485
Q9H898	P03431
Q9H898	P03496
Q8NHQ1	P03466
Q9BXR0	P03433
Q8N6Y0	P03431
Q8N6Y0	P03428
Q6P1W5	P03428
Q96MC5	P03466
Q96DZ9	P03428
Q96D05	P03433
Q8N448	P03428
Q8N448	P03452
Q8N448	P03433
Q8N448	P06821
Q8N448	P03496
Q8N448	P03485
Q8N661	P03433
Q8N5I3	P03428
Q14258	P03496
Q14258	Q1K9I7
Q9Y224	Q1K9H5
Q9Y224	B4URF7
Q9Y224	Q1I2B2
P24928	P03431
P24928	P03466
O43707	P03466
O43707	Q8JR21
P34949	Q9DLK6
Q9H0E9	Q1K9H5
Q96P70	Q1K9H5
Q15038	Q1K9H5
Q96EB1	Q1K9H5
P02794	Q1K9H5
P49848	Q1K9H5
P46781	Q1K9H5
Q9Y287	Q1K9H5
P62913	Q1K9H5
Q13315	P03433
Q9NTK5	P03433
P06396	P03433
Q32MZ4	P03433
Q8NBZ7	P03433
P68104	P03431
Q8NF05	P03431
P62917	P03431
P02795	Q67020
P29692	Q1K9H5
Q7Z3B4	Q1K9H5
P12004	Q1K9H5
P59910	B4URF7
P15104	B4URF7
P12004	B4URF7
Q9BRH9	B4URF7
P23141	Q1K9H5
Q13111	Q1K9H5
Q13287	Q1K9H5
O14818	Q1K9H5
P23141	B4URF7
Q8TDD1	B4URF7
P25685	B4URF7
P02795	B4URF7
