"V1","V2"
"1","1396"
"2","1397"
"3","1398"
"4","1398"
"5","1398"
"6","1399"
"7","1398"
"8","1396"
"9","1396"
"10","1396"
"11","1398"
"12","1398"
"13","1396"
"14","1396"
"15","1396"
"16","1396"
"17","1396"
"18","1398"
"19","1400"
"20","1400"
"21","1401"
"22","1401"
"23","1401"
"18","1401"
"24","1401"
"25","1402"
"26","1402"
"27","1402"
"28","1402"
"29","1402"
"30","1402"
"31","1400"
"32","1400"
"33","1400"
"34","1400"
"35","1400"
"36","1400"
"37","1400"
"38","1400"
"39","1400"
"40","1400"
"41","1400"
"42","1400"
"43","1400"
"44","1400"
"45","1400"
"46","1396"
"47","1396"
"48","1403"
"49","1403"
"50","1403"
"51","1403"
"52","1403"
"53","1403"
"54","1403"
"55","1403"
"56","1403"
"57","1403"
"58","1403"
"59","1403"
"60","1403"
"61","1403"
"62","1403"
"63","1403"
"64","1403"
"65","1403"
"66","1403"
"67","1403"
"68","1403"
"69","1403"
"70","1403"
"71","1403"
"72","1403"
"73","1403"
"74","1403"
"75","1403"
"76","1403"
"77","1403"
"78","1398"
"79","1398"
"80","1398"
"81","1398"
"82","1398"
"83","1398"
"84","1398"
"85","1398"
"86","1398"
"87","1398"
"88","1398"
"89","1398"
"90","1398"
"91","1398"
"92","1398"
"93","1398"
"94","1398"
"95","1398"
"96","1398"
"97","1398"
"98","1398"
"99","1398"
"100","1398"
"101","1398"
"102","1398"
"103","1398"
"104","1398"
"105","1398"
"106","1398"
"107","1398"
"108","1398"
"109","1398"
"110","1398"
"111","1398"
"112","1398"
"22","1398"
"113","1398"
"114","1398"
"115","1398"
"116","1398"
"117","1398"
"118","1398"
"119","1398"
"120","1398"
"121","1398"
"122","1398"
"123","1398"
"124","1398"
"125","1398"
"126","1398"
"127","1398"
"128","1398"
"129","1398"
"130","1398"
"131","1398"
"132","1398"
"133","1398"
"134","1398"
"135","1398"
"136","1398"
"137","1398"
"138","1398"
"139","1398"
"140","1398"
"141","1398"
"142","1398"
"143","1398"
"144","1398"
"145","1398"
"146","1398"
"147","1398"
"148","1398"
"149","1398"
"150","1398"
"151","1398"
"152","1398"
"153","1398"
"154","1398"
"155","1398"
"156","1398"
"157","1398"
"158","1398"
"159","1398"
"160","1398"
"161","1398"
"162","1398"
"163","1398"
"164","1398"
"165","1398"
"166","1398"
"167","1398"
"168","1398"
"169","1398"
"170","1398"
"171","1398"
"172","1398"
"173","1398"
"174","1398"
"175","1398"
"176","1398"
"177","1398"
"178","1398"
"179","1398"
"180","1398"
"181","1398"
"182","1398"
"183","1398"
"184","1398"
"185","1398"
"186","1398"
"187","1398"
"188","1398"
"189","1398"
"190","1398"
"191","1398"
"192","1398"
"193","1398"
"194","1398"
"195","1398"
"196","1398"
"197","1398"
"198","1398"
"199","1398"
"200","1398"
"201","1398"
"202","1398"
"203","1398"
"204","1398"
"205","1398"
"206","1398"
"207","1404"
"208","1404"
"209","1404"
"210","1405"
"211","1405"
"212","1405"
"213","1405"
"214","1405"
"215","1405"
"216","1405"
"217","1405"
"218","1406"
"219","1406"
"220","1406"
"221","1406"
"222","1406"
"223","1406"
"224","1406"
"225","1406"
"226","1406"
"227","1398"
"228","1398"
"229","1398"
"230","1398"
"231","1398"
"232","1398"
"233","1398"
"234","1398"
"235","1398"
"236","1398"
"237","1398"
"238","1398"
"239","1398"
"240","1398"
"241","1398"
"242","1398"
"243","1398"
"244","1398"
"245","1398"
"246","1398"
"247","1398"
"248","1398"
"249","1398"
"250","1398"
"251","1398"
"252","1398"
"253","1398"
"254","1398"
"255","1398"
"256","1398"
"257","1398"
"258","1398"
"259","1398"
"260","1398"
"261","1398"
"262","1398"
"263","1398"
"264","1398"
"265","1398"
"266","1398"
"267","1407"
"268","1407"
"269","1399"
"270","1399"
"271","1399"
"272","1399"
"273","1399"
"274","1399"
"275","1399"
"276","1399"
"277","1399"
"278","1399"
"279","1399"
"280","1399"
"281","1399"
"282","1399"
"283","1399"
"284","1399"
"285","1399"
"286","1399"
"287","1399"
"288","1399"
"289","1399"
"290","1399"
"291","1399"
"292","1399"
"293","1399"
"294","1399"
"295","1399"
"296","1399"
"297","1399"
"298","1399"
"299","1399"
"300","1399"
"301","1399"
"302","1399"
"303","1399"
"304","1399"
"305","1399"
"306","1399"
"307","1399"
"308","1399"
"309","1399"
"310","1399"
"311","1399"
"312","1399"
"313","1399"
"314","1399"
"315","1399"
"316","1401"
"317","1401"
"318","1401"
"319","1401"
"320","1401"
"321","1401"
"322","1401"
"323","1401"
"324","1401"
"325","1401"
"326","1401"
"327","1408"
"328","1408"
"329","1408"
"330","1408"
"331","1408"
"332","1408"
"333","1408"
"334","1408"
"335","1408"
"336","1408"
"337","1408"
"338","1408"
"339","1408"
"340","1408"
"341","1408"
"342","1408"
"343","1408"
"344","1408"
"345","1408"
"346","1408"
"347","1408"
"348","1408"
"349","1408"
"350","1408"
"351","1408"
"352","1408"
"353","1398"
"354","1398"
"355","1398"
"356","1398"
"357","1398"
"358","1398"
"359","1398"
"360","1398"
"361","1398"
"362","1398"
"363","1398"
"364","1398"
"365","1398"
"366","1398"
"367","1398"
"368","1398"
"369","1398"
"370","1398"
"371","1398"
"372","1398"
"373","1398"
"374","1398"
"375","1398"
"376","1398"
"377","1398"
"378","1398"
"379","1398"
"380","1398"
"381","1398"
"382","1398"
"383","1398"
"384","1398"
"385","1398"
"386","1398"
"387","1398"
"388","1398"
"389","1398"
"390","1398"
"391","1398"
"392","1398"
"393","1398"
"394","1398"
"395","1398"
"396","1398"
"397","1398"
"398","1398"
"399","1398"
"400","1398"
"401","1398"
"402","1398"
"403","1398"
"404","1398"
"405","1398"
"32","1398"
"406","1398"
"407","1398"
"408","1398"
"409","1398"
"410","1398"
"411","1398"
"412","1398"
"413","1398"
"414","1398"
"415","1398"
"416","1398"
"417","1398"
"418","1398"
"419","1398"
"420","1398"
"421","1398"
"422","1398"
"423","1398"
"424","1398"
"425","1398"
"426","1398"
"427","1398"
"428","1398"
"429","1398"
"430","1398"
"431","1398"
"432","1398"
"433","1398"
"434","1398"
"435","1398"
"436","1398"
"437","1398"
"438","1398"
"439","1398"
"440","1398"
"441","1398"
"442","1398"
"443","1398"
"444","1398"
"445","1398"
"446","1398"
"447","1398"
"448","1398"
"449","1398"
"450","1398"
"451","1398"
"452","1398"
"453","1398"
"454","1398"
"455","1398"
"456","1398"
"457","1398"
"458","1398"
"459","1398"
"460","1398"
"385","1397"
"461","1397"
"383","1397"
"462","1398"
"463","1398"
"464","1398"
"465","1398"
"466","1398"
"467","1398"
"468","1398"
"469","1398"
"470","1398"
"471","1398"
"472","1398"
"473","1398"
"474","1398"
"475","1398"
"476","1398"
"477","1398"
"478","1398"
"479","1398"
"480","1398"
"481","1398"
"482","1398"
"19","1398"
"483","1398"
"484","1398"
"485","1398"
"486","1398"
"487","1398"
"488","1398"
"489","1398"
"490","1398"
"491","1398"
"492","1398"
"493","1398"
"494","1398"
"495","1398"
"496","1398"
"497","1398"
"498","1398"
"499","1398"
"500","1398"
"388","1396"
"389","1396"
"373","1396"
"379","1396"
"501","1396"
"463","1396"
"391","1396"
"440","1396"
"442","1396"
"445","1396"
"474","1396"
"443","1396"
"476","1396"
"383","1396"
"385","1396"
"50","1402"
"502","1402"
"427","1402"
"366","1402"
"503","1402"
"367","1402"
"397","1402"
"504","1402"
"505","1403"
"506","1403"
"507","1403"
"387","1403"
"365","1403"
"508","1403"
"509","1403"
"510","1403"
"511","1403"
"512","1403"
"513","1403"
"427","1403"
"514","1403"
"515","1403"
"516","1403"
"502","1403"
"504","1403"
"362","1403"
"517","1403"
"376","1403"
"518","1403"
"519","1403"
"377","1403"
"520","1403"
"521","1403"
"375","1403"
"522","1403"
"457","1403"
"523","1403"
"524","1403"
"525","1403"
"503","1403"
"526","1403"
"441","1403"
"527","1403"
"395","1403"
"392","1403"
"396","1403"
"528","1403"
"529","1403"
"433","1403"
"393","1403"
"382","1403"
"429","1403"
"530","1403"
"368","1403"
"531","1403"
"430","1403"
"532","1403"
"366","1403"
"439","1403"
"367","1403"
"431","1403"
"372","1403"
"397","1403"
"446","1400"
"463","1400"
"533","1400"
"534","1400"
"385","1400"
"516","1405"
"522","1405"
"381","1405"
"394","1405"
"428","1405"
"535","1405"
"427","1405"
"376","1405"
"377","1405"
"529","1405"
"362","1405"
"525","1405"
"382","1405"
"509","1405"
"528","1405"
"365","1405"
"503","1405"
"448","1405"
"395","1405"
"364","1405"
"366","1405"
"372","1405"
"430","1405"
"439","1405"
"367","1405"
"396","1405"
"431","1405"
"397","1405"
"536","1404"
"377","1404"
"229","1404"
"375","1404"
"537","1404"
"434","1404"
"367","1404"
"538","1404"
"366","1404"
"105","1404"
"497","1404"
"431","1404"
"372","1404"
"539","1404"
"540","1404"
"541","1404"
"542","1404"
"543","1407"
"375","1407"
"516","1407"
"535","1407"
"511","1407"
"523","1407"
"364","1407"
"513","1407"
"502","1407"
"529","1407"
"509","1407"
"387","1407"
"505","1407"
"457","1407"
"429","1407"
"517","1407"
"427","1407"
"503","1407"
"518","1407"
"368","1407"
"514","1407"
"544","1407"
"524","1407"
"528","1407"
"521","1407"
"366","1407"
"520","1407"
"527","1407"
"395","1407"
"392","1407"
"441","1407"
"382","1407"
"504","1407"
"367","1407"
"433","1407"
"430","1407"
"545","1407"
"525","1407"
"396","1407"
"439","1407"
"532","1407"
"531","1407"
"397","1407"
"431","1407"
"372","1407"
"522","1409"
"508","1409"
"529","1409"
"377","1409"
"376","1409"
"375","1409"
"546","1409"
"547","1409"
"539","1409"
"366","1409"
"429","1409"
"427","1409"
"527","1409"
"428","1409"
"430","1409"
"439","1409"
"395","1409"
"396","1409"
"367","1409"
"382","1409"
"545","1409"
"372","1409"
"548","1409"
"532","1409"
"531","1409"
"397","1409"
"431","1409"
"549","1409"
"550","1399"
"502","1399"
"511","1399"
"375","1399"
"387","1399"
"377","1399"
"516","1399"
"466","1399"
"515","1399"
"429","1399"
"517","1399"
"529","1399"
"487","1399"
"509","1399"
"376","1399"
"514","1399"
"544","1399"
"427","1399"
"518","1399"
"505","1399"
"547","1399"
"539","1399"
"528","1399"
"441","1399"
"366","1399"
"524","1399"
"392","1399"
"430","1399"
"548","1399"
"395","1399"
"527","1399"
"433","1399"
"503","1399"
"367","1399"
"382","1399"
"396","1399"
"439","1399"
"431","1399"
"397","1399"
"531","1399"
"525","1399"
"390","1401"
"451","1401"
"444","1401"
"551","1401"
"446","1401"
"442","1401"
"391","1401"
"445","1401"
"474","1401"
"385","1401"
"443","1401"
"476","1401"
"552","1408"
"389","1408"
"470","1408"
"471","1408"
"510","1408"
"522","1408"
"452","1408"
"388","1408"
"553","1408"
"438","1408"
"379","1408"
"373","1408"
"467","1408"
"554","1408"
"555","1408"
"525","1408"
"380","1408"
