"","common_hp"
"1","Q92769"
"2","O15226"
"3","P07858"
"4","Q96SB4"
"5","P78362"
"6","O95786"
"7","Q86VM9"
"8","Q9Y3U8"
"9","Q9NW13"
"10","Q9NR30"
"11","Q9UN86"
"12","Q9HCE1"
"13","Q92900"
"14","Q8NCA5"
"15","Q6PKG0"
"16","Q13310"
"17","Q13283"
"18","P11940"
"19","Q9Y6E2"
"20","Q9Y312"
"21","Q9ULX6"
"22","Q9NQC3"
"23","Q9BSJ2"
"24","Q96ER3"
"25","Q96D53"
"26","Q96CW5"
"27","Q7L8L6"
"28","Q10713"
"29","P48556"
"30","P38606"
"31","P38435"
"32","P27105"
"33","P13804"
"34","P11310"
"35","O75439"
"36","Q99959"
"37","Q8NBJ5"
"38","Q9HAV7"
"39","Q96CW1"
"40","Q969X5"
"41","O94973"
"42","Q99081"
"43","Q92615"
"44","Q70EL1"
"45","Q5JSZ5"
"46","Q14157"
"47","O95391"
"48","O43823"
"49","P17612"
"50","O14578"
"51","Q9UJC3"
"52","Q99996"
"53","Q96CN9"
"54","Q8TD10"
"55","Q8N4C6"
"56","Q8N3C7"
"57","P35241"
"58","O75506"
"59","P12268"
"60","P06280"
"61","Q9NXH9"
"62","O75964"
"63","Q9NP72"
"64","Q6ZRP7"
"65","Q5JTV8"
"66","Q13724"
"67","Q12907"
"68","P63218"
"69","P62873"
"70","P62820"
"71","P61106"
"72","P61026"
"73","P61006"
"74","P51148"
"75","P21964"
"76","O95573"
"77","O00116"
"78","Q5T1M5"
"79","P52306"
"80","O14975"
"81","Q9NVH1"
"82","Q9BSF4"
"83","Q8TEM1"
"84","Q9NZJ7"
"85","P78406"
"86","P52948"
"87","Q9UH99"
"88","P09601"
"89","Q15370"
"90","Q9Y5J9"
"91","Q3KQU3"
"92","Q13617"
"93","P50897"
"94","Q92552"
"95","P82675"
"96","Q9Y399"
"97","Q9ULT8"
"98","Q9NY61"
"99","Q96I59"
"100","Q96B26"
"101","Q8NEJ9"
"102","Q7L2J0"
"103","Q4G0J3"
"104","Q13206"
"105","P82663"
"106","O76094"
"107","Q96F45"
"108","Q7Z3B4"
"109","P61962"
"110","P37198"
"111","P35658"
"112","Q9NU22"
"113","Q7Z4Q2"
"114","Q96IV0"
"115","Q96AY3"
"116","Q9NYU1"
"117","Q9H173"
"118","Q9BZQ6"
"119","Q99470"
"120","Q96DZ1"
"121","Q8IWF2"
"122","Q8IV08"
"123","Q13438"
"124","P26358"
"125","P15151"
"126","P05556"
"127","Q9UL15"
"128","Q9H773"
"129","O94826"
"130","O75534"
"131","Q9H845"
"132","Q86UT6"
"133","P55884"
"134","P08865"
"135","P60228"
"136","P35251"
"137","P46782"
"138","P46783"
"139","O76021"
"140","Q9BUJ2"
"141","Q9BZE4"
"142","O95757"
"143","P82650"
"144","P53007"
"145","P26599"
"146","P05023"
"147","P16615"
"148","P34932"
"149","O00411"
"150","Q9UNQ2"
"151","Q9H0A0"
"152","Q96CS3"
"153","P63244"
"154","P50991"
"155","P06576"
"156","P31689"
"157","P25705"
"158","P25205"
"159","P40227"
"160","P48643"
"161","P22314"
"162","P53621"
"163","Q16875"
"164","Q06787"
"165","P62195"
"166","P62269"
"167","Q96N67"
"168","P19105"
"169","P60660"
"170","P35998"
"171","Q9NTJ3"
"172","P04406"
"173","Q9NZ01"
"174","Q16891"
"175","Q9P035"
"176","P09012"
"177","P35250"
"178","Q9H5H4"
"179","P16989"
"180","P25398"
"181","Q14498"
"182","Q9UHX1"
"183","O43660"
"184","Q7Z2T5"
"185","O15381"
"186","O43395"
"187","Q13610"
"188","O00567"
"189","Q9UKD2"
"190","P11387"
"191","P46013"
"192","Q86UE4"
"193","Q9UJV9"
"194","P42696"
"195","Q8N5C6"
"196","Q9GZR7"
"197","P40938"
"198","Q9HC36"
"199","Q8NC51"
"200","Q00325"
"201","P57088"
"202","P55786"
"203","O43592"
"204","O14980"
"205","Q99460"
"206","P53396"
"207","P22234"
"208","Q9NNW5"
"209","P06733"
"210","P27348"
"211","O95347"
"212","P47756"
"213","Q13200"
"214","P52907"
"215","P62140"
"216","Q9NYL9"
"217","P00338"
"218","P11586"
"219","Q07021"
"220","O95831"
"221","Q14315"
"222","Q16576"
"223","O00148"
"224","Q15366"
"225","Q15942"
"226","Q92945"
"227","Q99615"
"228","P51570"
"229","P67936"
"230","Q9NRN7"
"231","O43795"
"232","P25789"
"233","P08621"
"234","P50990"
"235","P06753"
"236","P49368"
"237","O75688"
"238","P04075"
"239","Q15365"
"240","P17987"
"241","P46109"
"242","P47755"
"243","P13797"
"244","P49327"
"245","P59998"
"246","Q9H0D6"
"247","Q9Y383"
"248","P62263"
"249","P46087"
"250","P08708"
"251","P42285"
"252","Q99848"
"253","Q12789"
"254","Q9P015"
"255","Q13243"
"256","Q1KMD3"
"257","O60293"
"258","O60832"
"259","Q2NL82"
"260","O75569"
"261","Q8N9T8"
"262","Q15020"
"263","O75934"
"264","Q5SSJ5"
"265","Q14137"
"266","Q92974"
"267","P07195"
"268","P50402"
"269","O75746"
"270","Q5H9R7"
"271","P30876"
"272","O15397"
"273","Q9H078"
"274","O60762"
"275","Q9H936"
"276","O00231"
"277","Q9UHI6"
"278","Q7Z4H7"
"279","Q96EY1"
"280","Q15008"
"281","O14818"
"282","P40939"
"283","P57678"
"284","O15027"
"285","P60900"
"286","P51665"
"287","P62191"
"288","Q14257"
"289","O95816"
"290","O95071"
"291","P46379"
"292","Q9Y5A9"
"293","P53618"
"294","O60884"
"295","O43852"
"296","Q15293"
"297","Q9UBF2"
"298","P35606"
"299","P38159"
"300","Q13151"
"301","Q8IXB1"
"302","Q5SW79"
"303","P15924"
"304","Q5T9A4"
"305","Q9NVI7"
"306","P33176"
"307","Q13561"
"308","Q6P2E9"
"309","P30153"
"310","Q9UNM6"
"311","Q9NXS2"
"312","Q8WTT2"
"313","Q7KZF4"
"314","Q02978"
"315","P10155"
"316","Q14152"
"317","P0DP25"
"318","Q9BUQ8"
"319","Q9Y265"
"320","P07355"
"321","Q99832"
"322","P31948"
"323","Q3ZCQ8"
"324","P42677"
"325","P09874"
"326","P06493"
"327","Q14739"
"328","Q9UBX3"
"329","P12004"
"330","P35613"
"331","P00403"
"332","Q03169"
"333","P25686"
"334","Q9Y6D6"
"335","Q9Y6D5"
"336","Q9Y5Y2"
"337","Q9NVI1"
"338","Q9BRK5"
"339","Q93084"
"340","Q92538"
"341","Q8WWC4"
"342","Q8NHH9"
"343","Q8NFQ8"
"344","Q86UA1"
"345","Q7Z3C6"
"346","Q6UB35"
"347","Q6P3X3"
"348","Q6IBW4"
"349","Q5SWX8"
"350","Q15386"
"351","Q15054"
"352","Q03135"
"353","P78527"
"354","P54707"
"355","P51617"
"356","P42695"
"357","P24752"
"358","P05165"
"359","O95299"
"360","O94829"
"361","O94822"
"362","O94788"
"363","O75306"
"364","O60318"
"365","O43251"
"366","O15287"
"367","O00217"
"368","O00165"
"369","Q6NZI2"
"370","Q04837"
"371","P38646"
"372","P0DMV8"
"373","O60524"
"374","P10321"
"375","P11021"
"376","Q5VW36"
"377","Q9BYW2"
"378","P00846"
"379","O43264"
"380","Q9Y5Z9"
"381","Q96G23"
"382","Q96C19"
"383","Q8WTW3"
"384","Q15392"
"385","Q14746"
"386","Q13637"
"387","P83436"
"388","P56381"
"389","P30049"
"390","P26038"
"391","P24539"
"392","O75947"
"393","O15260"
"394","Q9NZM1"
"395","Q14574"
"396","Q9Y6M5"
"397","Q9Y4P3"
"398","Q9Y287"
"399","Q9UNE7"
"400","Q9P253"
"401","Q9NZV1"
"402","Q99747"
"403","Q99650"
"404","Q96MC5"
"405","Q8NE01"
"406","Q8IUR0"
"407","Q86VS8"
"408","Q86SJ2"
"409","Q658P3"
"410","Q15181"
"411","Q15075"
"412","Q05639"
"413","Q04721"
"414","Q01518"
"415","P61020"
"416","P58546"
"417","P51809"
"418","P51153"
"419","P51151"
"420","P48960"
"421","P42892"
"422","P37235"
"423","P36897"
"424","P30622"
"425","P30519"
"426","P29317"
"427","P20339"
"428","P17931"
"429","P16152"
"430","P15311"
"431","P15121"
"432","P14314"
"433","P14209"
"434","P11908"
"435","P11717"
"436","P10909"
"437","P08758"
"438","P08133"
"439","P06744"
"440","P04920"
"441","P01130"
"442","O95716"
"443","O75976"
"444","O60462"
"445","O43570"
"446","A0MZ66"
"447","Q13315"
"448","Q9H0H0"
"449","Q9UI26"
"450","Q9HAV4"
"451","Q9BXW9"
"452","Q96JB2"
"453","Q8N201"
"454","Q8N1F8"
"455","Q8N1F7"
"456","Q86XI2"
"457","Q70CQ2"
"458","Q6YHU6"
"459","Q63HN8"
"460","Q5UIP0"
"461","Q5SRE5"
"462","Q29RF7"
"463","Q13535"
"464","Q01813"
"465","P04181"
"466","O60518"
"467","O43156"
"468","O14981"
"469","Q9H2V7"
"470","Q8WUK0"
"471","P43304"
"472","Q9Y3E5"
"473","Q9Y394"
"474","Q9Y2L1"
"475","Q9UNS1"
"476","Q9UKM7"
"477","Q9NZT1"
"478","Q9HD45"
"479","Q9H3N1"
"480","Q9BYC5"
"481","Q9BW72"
"482","Q9BVK6"
"483","Q9BUP3"
"484","Q99595"
"485","Q99541"
"486","Q99523"
"487","Q96G97"
"488","Q96AD5"
"489","Q8TED1"
"490","Q8TDX6"
"491","Q8N6M3"
"492","Q8N490"
"493","Q6NTF9"
"494","Q643R3"
"495","Q5XKP0"
"496","Q56VL3"
"497","Q16563"
"498","Q15363"
"499","Q14318"
"500","Q13505"
"501","Q13190"
"502","Q07065"
"503","P61165"
"504","P60604"
"505","P60468"
"506","P60059"
"507","P60033"
"508","P51572"
"509","P49755"
"510","P49257"
"511","P46977"
"512","P35221"
"513","P08240"
"514","O94766"
"515","O75844"
"516","O60831"
"517","O60830"
"518","O15321"
"519","O15270"
"520","O14828"
"521","O14684"
"522","P30101"
"523","P26006"
"524","P05121"
"525","O60613"
"526","Q14165"
"527","Q5VV42"
"528","Q9BQB6"
"529","Q9BVV7"
"530","Q92504"
"531","P62979"
"532","Q99942"
"533","Q9H0U3"
"534","P36776"
"535","O94905"
"536","P39656"
"537","Q9ULG6"
"538","P27824"
"539","Q9UBQ5"
"540","Q96CT7"
"541","O15372"
"542","Q7L2H7"
"543","Q13347"
"544","P68104"
"545","O00303"
"546","P41091"
"547","P61221"
"548","O15371"
"549","Q9Y262"
"550","Q99613"
"551","P61289"
"552","P29966"
"553","Q96KR1"
