"","Dim.1","Dim.2"
"corona_av",6.82,0.58
"corona_bar",7.49,0.29
"corona_clo",7.49,0.29
"corona_lat",7.58,0.13
"corona_res",7.52,0.35
"corona_dec",7.52,0.35
"corona_dif",7.06,0.88
"corona_geo",7.17,0.01
"corona_la",1.02,15.49
"corona_lev",0.55,9.59
"corona_lin",7.49,0.29
"corona_lob",4.22,1.07
"corona_mar",1.38,16
"corona_rad",6.82,0.58
"corona_eig",5.29,0.27
"corona_sub",0.89,14.1
"corona_bet",1.15,16.17
"corona_ecc",0.88,0.01
"corona_deg",0.96,17.06
"corona_auth",5.36,3.25
"corona_hub",5.36,3.25
