"","corona_dif"
"1",30
"2",38
"3",438
"4",438
"5",438
"6",893
"7",438
"8",30
"9",30
"10",30
"11",438
"12",438
"13",30
"14",30
"15",247
"16",30
"17",30
"18",473
"19",469
"20",31
"21",445
"22",473
"23",35
"24",35
"25",15
"26",15
"27",15
"28",15
"29",15
"30",15
"31",31
"32",469
"33",31
"34",31
"35",31
"36",31
"37",31
"38",31
"39",31
"40",31
"41",31
"42",31
"43",31
"44",31
"45",31
"46",806
"47",396
"48",217
"49",217
"50",319
"51",217
"52",655
"53",217
"54",217
"55",217
"56",217
"57",318
"58",217
"59",217
"60",217
"61",217
"62",217
"63",217
"64",217
"65",217
"66",993
"67",217
"68",627
"69",217
"70",217
"71",217
"72",217
"73",217
"74",217
"75",217
"76",217
"77",217
"78",438
"79",438
"80",438
"81",438
"82",438
"83",438
"84",438
"85",438
"86",438
"87",438
"88",438
"89",438
"90",438
"91",438
"92",438
"93",438
"94",438
"95",438
"96",438
"97",438
"98",438
"99",438
"100",438
"101",438
"102",438
"103",438
"104",438
"105",459
"106",438
"107",438
"108",438
"109",438
"110",438
"111",438
"112",438
"113",438
"114",438
"115",438
"116",438
"117",438
"118",438
"119",438
"120",438
"121",438
"122",438
"123",438
"124",438
"125",438
"126",438
"127",438
"128",438
"129",438
"130",438
"131",438
"132",438
"133",438
"134",1214
"135",438
"136",438
"137",438
"138",438
"139",438
"140",438
"141",438
"142",438
"143",438
"144",438
"145",438
"146",438
"147",438
"148",438
"149",468
"150",438
"151",438
"152",438
"153",655
"154",438
"155",1214
"156",438
"157",438
"158",438
"159",438
"160",848
"161",438
"162",438
"163",438
"164",1214
"165",848
"166",438
"167",438
"168",848
"169",473
"170",438
"171",438
"172",1214
"173",438
"174",438
"175",1214
"176",438
"177",804
"178",438
"179",804
"180",804
"181",1214
"182",438
"183",848
"184",438
"185",438
"186",438
"187",438
"188",438
"189",438
"190",438
"191",438
"192",438
"193",438
"194",438
"195",438
"196",438
"197",438
"198",438
"199",438
"200",438
"201",438
"202",438
"203",438
"204",438
"205",438
"206",438
"207",431
"208",21
"209",21
"210",776
"211",366
"212",366
"213",366
"214",366
"215",366
"216",776
"217",366
"218",30
"219",30
"220",30
"221",30
"222",30
"223",30
"224",30
"225",30
"226",30
"227",438
"228",438
"229",459
"230",438
"231",438
"232",438
"233",438
"234",438
"235",438
"236",438
"237",438
"238",655
"239",438
"240",438
"241",438
"242",438
"243",438
"244",438
"245",438
"246",438
"247",438
"248",438
"249",438
"250",438
"251",438
"252",438
"253",438
"254",438
"255",438
"256",438
"257",438
"258",438
"259",438
"260",438
"261",438
"262",438
"263",438
"264",438
"265",438
"266",438
"267",101
"268",101
"269",117
"270",117
"271",117
"272",483
"273",117
"274",117
"275",117
"276",117
"277",117
"278",117
"279",117
"280",117
"281",117
"282",117
"283",117
"284",117
"285",117
"286",117
"287",117
"288",117
"289",155
"290",117
"291",117
"292",772
"293",117
"294",117
"295",117
"296",527
"297",117
"298",117
"299",117
"300",117
"301",117
"302",117
"303",117
"304",117
"305",117
"306",117
"307",117
"308",893
"309",117
"310",117
"311",117
"312",117
"313",117
"314",483
"315",117
"316",401
"317",35
"318",35
"319",35
"320",35
"321",35
"322",35
"323",35
"324",401
"325",35
"326",35
"327",87
"328",87
"329",525
"330",87
"331",87
"332",87
"333",863
"334",87
"335",87
"336",87
"337",497
"338",87
"339",87
"340",497
"341",497
"342",405
"343",497
"344",87
"345",87
"346",87
