"","corona_ecc"
"1",6
"2",4
"3",4
"4",4
"5",4
"6",6
"7",4
"8",6
"9",6
"10",6
"11",4
"12",4
"13",6
"14",6
"15",4
"16",6
"17",6
"18",4
"19",4
"20",6
"21",4
"22",4
"23",6
"24",6
"25",6
"26",6
"27",6
"28",6
"29",6
"30",6
"31",6
"32",4
"33",6
"34",6
"35",6
"36",6
"37",6
"38",6
"39",6
"40",6
"41",6
"42",6
"43",6
"44",6
"45",6
"46",4
"47",4
"48",6
"49",6
"50",4
"51",6
"52",4
"53",6
"54",6
"55",6
"56",6
"57",6
"58",6
"59",6
"60",6
"61",6
"62",6
"63",6
"64",6
"65",6
"66",6
"67",6
"68",6
"69",6
"70",6
"71",6
"72",6
"73",6
"74",6
"75",6
"76",6
"77",6
"78",4
"79",4
"80",4
"81",4
"82",4
"83",4
"84",4
"85",4
"86",4
"87",4
"88",4
"89",4
"90",4
"91",4
"92",4
"93",4
"94",4
"95",4
"96",4
"97",4
"98",4
"99",4
"100",4
"101",4
"102",4
"103",4
"104",4
"105",4
"106",4
"107",4
"108",4
"109",4
"110",4
"111",4
"112",4
"113",4
"114",4
"115",4
"116",4
"117",4
"118",4
"119",4
"120",4
"121",4
"122",4
"123",4
"124",4
"125",4
"126",4
"127",4
"128",4
"129",4
"130",4
"131",4
"132",4
"133",4
"134",4
"135",4
"136",4
"137",4
"138",4
"139",4
"140",4
"141",4
"142",4
"143",4
"144",4
"145",4
"146",4
"147",4
"148",4
"149",4
"150",4
"151",4
"152",4
"153",4
"154",4
"155",4
"156",4
"157",4
"158",4
"159",4
"160",4
"161",4
"162",4
"163",4
"164",4
"165",4
"166",4
"167",4
"168",4
"169",4
"170",4
"171",4
"172",4
"173",4
"174",4
"175",4
"176",4
"177",4
"178",4
"179",4
"180",4
"181",4
"182",4
"183",4
"184",4
"185",4
"186",4
"187",4
"188",4
"189",4
"190",4
"191",4
"192",4
"193",4
"194",4
"195",4
"196",4
"197",4
"198",4
"199",4
"200",4
"201",4
"202",4
"203",4
"204",4
"205",4
"206",4
"207",6
"208",6
"209",6
"210",6
"211",6
"212",6
"213",6
"214",6
"215",6
"216",6
"217",6
"218",6
"219",6
"220",6
"221",6
"222",6
"223",6
"224",6
"225",6
"226",6
"227",4
"228",4
"229",4
"230",4
"231",4
"232",4
"233",4
"234",4
"235",4
"236",4
"237",4
"238",4
"239",4
"240",4
"241",4
"242",4
"243",4
"244",4
"245",4
"246",4
"247",4
"248",4
"249",4
"250",4
"251",4
"252",4
"253",4
"254",4
"255",4
"256",4
"257",4
"258",4
"259",4
"260",4
"261",4
"262",4
"263",4
"264",4
"265",4
"266",4
"267",6
"268",6
"269",6
"270",6
"271",6
"272",6
"273",6
"274",6
"275",6
"276",6
"277",6
"278",6
"279",6
"280",6
"281",6
"282",6
"283",6
"284",6
"285",6
"286",6
"287",6
"288",6
"289",4
"290",6
"291",6
"292",4
"293",6
"294",6
"295",6
"296",6
"297",6
"298",6
"299",6
"300",6
"301",6
"302",6
"303",6
"304",6
"305",6
"306",6
"307",6
"308",6
"309",6
"310",6
"311",6
"312",6
"313",6
"314",6
"315",6
"316",4
"317",6
"318",6
"319",6
"320",6
"321",6
"322",6
"323",6
"324",4
"325",6
"326",6
"327",4
"328",4
"329",4
"330",4
"331",4
"332",4
"333",4
"334",4
"335",4
"336",4
"337",4
"338",4
"339",4
"340",4
"341",4
"342",4
"343",4
"344",4
"345",4
"346",4
"347",4
"348",4
"349",4
"350",4
"351",4
"352",4
"353",4
"354",4
"355",4
"356",4
"357",4
"358",4
"359",4
"360",4
"361",4
"362",4
"363",4
"364",4
"365",4
"366",4
"367",4
"368",4
"369",4
"370",4
"371",4
"372",4
"373",4
"374",4
"375",4
"376",4
"377",4
"378",4
"379",4
"380",4
"381",4
"382",4
"383",4
"384",4
"385",4
"386",4
"387",4
"388",4
"389",4
"390",4
"391",4
"392",4
"393",4
"394",4
"395",4
"396",4
"397",4
"398",4
"399",4
"400",4
"401",4
"402",4
"403",4
"404",4
"405",4
"406",4
"407",4
"408",4
"409",4
"410",4
"411",4
"412",4
"413",4
"414",4
"415",4
"416",4
"417",4
"418",4
"419",4
"420",4
"421",4
"422",4
"423",4
"424",4
"425",4
"426",4
"427",4
"428",4
"429",4
"430",4
"431",4
"432",4
"433",4
"434",4
"435",4
"436",4
"437",4
"438",4
"439",4
"440",4
"441",4
"442",4
"443",4
"444",4
"445",4
"446",4
"447",4
"448",4
"449",4
"450",4
"451",4
"452",4
"453",4
"454",4
"455",4
"456",4
"457",4
"458",4
"459",4
"460",4
"461",4
"462",4
"463",4
"464",4
"465",4
"466",4
"467",4
"468",4
"469",4
"470",4
"471",4
"472",4
"473",4
"474",4
"475",4
"476",4
"477",4
"478",4
"479",4
"480",4
"481",4
"482",4
"483",4
"484",4
"485",4
"486",4
"487",4
"488",4
"489",4
"490",4
"491",4
"492",4
"493",4
"494",4
"495",4
"496",4
"497",4
"498",4
"499",4
"500",4
"501",6
"502",4
"503",6
"504",4
"505",4
"506",6
"507",6
"508",6
"509",4
"510",4
"511",4
"512",4
"513",6
"514",6
"515",6
"516",4
"517",6
"518",6
"519",6
"520",6
"521",6
"522",4
"523",4
"524",6
"525",4
"526",6
"527",4
"528",6
"529",6
"530",6
"531",4
"532",4
"533",6
"534",6
"535",6
"536",6
"537",6
"538",6
"539",4
"540",6
"541",6
"542",6
"543",4
"544",6
"545",4
"546",6
"547",6
"548",6
"549",4
"550",4
"551",6
"552",4
"553",4
"554",4
"555",4
"556",4
"557",4
"558",4
"559",4
"560",4
"561",4
"562",4
"563",4
"564",4
"565",6
"566",6
"567",6
"568",6
"569",6
"570",6
"571",6
"572",6
"573",4
"574",6
"575",6
"576",6
"577",6
"578",6
"579",6
"580",6
"581",6
"582",6
"583",6
"584",6
"585",6
"586",6
"587",6
"588",6
"589",6
"590",6
"591",6
"592",6
"593",6
"594",6
"595",4
"596",6
"597",6
"598",6
"599",6
"600",6
"601",6
"602",6
"603",4
"604",6
"605",6
"606",6
"607",6
"608",6
"609",6
"610",6
"611",6
"612",6
"613",6
"614",6
"615",6
"616",6
"617",6
"618",6
"619",6
"620",6
"621",4
"622",6
"623",6
"624",6
"625",4
"626",6
"627",6
"628",6
"629",6
"630",6
"631",6
"632",6
"633",4
"634",6
"635",6
"636",6
"637",6
"638",6
"639",6
"640",6
"641",6
"642",6
"643",6
"644",6
"645",4
"646",6
"647",6
"648",4
"649",6
"650",6
"651",4
"652",6
"653",6
"654",6
"655",6
"656",6
"657",6
"658",6
"659",6
"660",6
"661",6
"662",6
"663",6
"664",6
"665",6
"666",6
"667",6
"668",6
"669",6
"670",6
"671",6
"672",6
"673",6
"674",6
"675",6
"676",6
"677",6
"678",6
"679",6
"680",6
"681",6
"682",6
"683",6
"684",6
"685",6
"686",6
"687",6
"688",6
"689",6
"690",6
"691",6
"692",6
"693",6
"694",6
"695",6
"696",6
"697",6
"698",6
"699",6
"700",4
"701",4
"702",4
"703",4
"704",4
"705",4
"706",4
"707",4
"708",4
"709",4
"710",4
"711",4
"712",4
"713",4
"714",4
"715",4
"716",4
"717",4
"718",4
"719",4
"720",4
"721",4
"722",4
"723",4
"724",4
"725",4
"726",4
"727",4
"728",4
"729",4
"730",4
"731",4
"732",4
"733",4
"734",4
"735",4
"736",4
"737",4
"738",4
"739",4
"740",4
"741",4
"742",4
"743",4
"744",4
"745",4
"746",4
"747",4
"748",4
"749",4
"750",4
"751",4
"752",4
"753",4
"754",4
"755",4
"756",4
"757",4
"758",4
"759",4
"760",4
"761",4
"762",4
"763",4
"764",4
"765",4
"766",4
"767",4
"768",4
"769",4
"770",4
"771",4
"772",4
"773",4
"774",4
"775",4
"776",4
"777",4
"778",4
"779",4
"780",4
"781",4
"782",4
"783",6
"784",6
"785",6
"786",6
"787",6
"788",6
"789",6
"790",6
"791",6
"792",6
"793",6
"794",6
"795",6
"796",6
"797",6
"798",6
"799",6
"800",6
"801",6
"802",6
"803",6
"804",6
"805",6
"806",6
"807",6
"808",6
"809",6
"810",6
"811",6
"812",6
"813",6
"814",6
"815",6
"816",6
"817",6
"818",6
"819",6
"820",6
"821",6
"822",6
"823",6
"824",6
"825",6
"826",6
"827",6
"828",6
"829",6
"830",6
"831",6
"832",6
"833",6
"834",6
"835",6
"836",6
"837",6
"838",6
"839",6
"840",6
"841",6
"842",6
"843",6
"844",6
"845",6
"846",6
"847",6
"848",6
"849",4
"850",6
"851",6
"852",6
"853",6
"854",6
"855",6
"856",6
"857",6
"858",6
"859",6
"860",6
"861",6
"862",6
"863",6
"864",6
"865",6
"866",6
"867",6
"868",6
"869",6
"870",6
"871",6
"872",6
"873",6
"874",6
"875",6
"876",6
"877",4
"878",6
"879",6
"880",6
"881",6
"882",6
"883",6
"884",6
"885",6
"886",6
"887",6
"888",6
"889",6
"890",6
"891",6
"892",6
"893",6
"894",6
"895",6
"896",6
"897",6
"898",6
"899",6
"900",6
"901",6
"902",6
"903",6
"904",6
"905",6
"906",6
"907",6
"908",6
"909",6
"910",6
"911",6
"912",6
"913",6
"914",6
"915",6
"916",6
"917",6
"918",6
"919",6
"920",6
"921",6
"922",6
"923",6
"924",6
"925",6
"926",6
"927",6
"928",6
"929",6
"930",6
"931",6
"932",6
"933",6
"934",6
"935",6
"936",6
"937",6
"938",6
"939",6
"940",6
"941",6
"942",6
"943",6
"944",6
"945",6
"946",6
"947",6
"948",6
"949",6
"950",6
"951",6
"952",6
"953",6
"954",6
"955",6
"956",6
"957",6
"958",6
"959",6
"960",6
"961",6
"962",6
"963",6
"964",6
"965",6
"966",6
"967",6
"968",6
"969",6
"970",6
"971",6
"972",6
"973",6
"974",6
"975",6
"976",6
"977",6
"978",6
"979",6
"980",6
"981",6
"982",6
"983",6
"984",6
"985",6
"986",6
"987",6
"988",6
"989",6
"990",6
"991",6
"992",6
"993",6
"994",6
"995",6
"996",6
"997",6
"998",6
"999",6
"1000",6
"1001",6
"1002",6
"1003",6
"1004",6
"1005",6
"1006",6
"1007",6
"1008",6
"1009",6
"1010",6
"1011",6
"1012",6
"1013",6
"1014",6
"1015",6
"1016",6
"1017",6
"1018",6
"1019",6
"1020",6
"1021",6
"1022",6
"1023",6
"1024",6
"1025",6
"1026",6
"1027",6
"1028",6
"1029",6
"1030",6
"1031",4
"1032",6
"1033",6
"1034",6
"1035",6
"1036",6
"1037",6
"1038",6
"1039",6
"1040",6
"1041",6
"1042",6
"1043",6
"1044",6
"1045",6
"1046",6
"1047",6
"1048",6
"1049",6
"1050",6
"1051",6
"1052",6
"1053",6
"1054",6
"1055",6
"1056",6
"1057",6
"1058",6
"1059",6
"1060",6
"1061",6
"1062",6
"1063",6
"1064",6
"1065",6
"1066",6
"1067",6
"1068",6
"1069",6
"1070",6
"1071",6
"1072",6
"1073",6
"1074",6
"1075",6
"1076",6
"1077",6
"1078",6
"1079",6
"1080",6
"1081",6
"1082",6
"1083",6
"1084",6
"1085",6
"1086",6
"1087",6
"1088",6
"1089",6
"1090",6
"1091",6
"1092",6
"1093",6
"1094",6
"1095",6
"1096",6
"1097",6
"1098",6
"1099",6
"1100",6
"1101",6
"1102",6
"1103",6
"1104",6
"1105",6
"1106",6
"1107",6
"1108",6
"1109",6
"1110",6
"1111",6
"1112",6
"1113",6
"1114",6
"1115",6
"1116",6
"1117",6
"1118",6
"1119",6
"1120",6
"1121",6
"1122",6
"1123",6
"1124",6
"1125",6
"1126",6
"1127",6
"1128",6
"1129",6
"1130",6
"1131",6
"1132",6
"1133",6
"1134",6
"1135",6
"1136",6
"1137",6
"1138",6
"1139",6
"1140",6
"1141",6
"1142",6
"1143",6
"1144",6
"1145",6
"1146",6
"1147",6
"1148",6
"1149",6
"1150",6
"1151",6
"1152",6
"1153",6
"1154",6
"1155",6
"1156",6
"1157",6
"1158",6
"1159",6
"1160",6
"1161",6
"1162",6
"1163",6
"1164",6
"1165",6
"1166",6
"1167",6
"1168",6
"1169",6
"1170",6
"1171",6
"1172",6
"1173",6
"1174",6
"1175",6
"1176",6
"1177",6
"1178",6
"1179",6
"1180",6
"1181",6
"1182",6
"1183",6
"1184",6
"1185",6
"1186",4
"1187",6
"1188",6
"1189",6
"1190",6
"1191",6
"1192",6
"1193",6
"1194",6
"1195",6
"1196",6
"1197",6
"1198",6
"1199",6
"1200",6
"1201",6
"1202",6
"1203",6
"1204",4
"1205",6
"1206",6
"1207",6
"1208",6
"1209",6
"1210",6
"1211",6
"1212",6
"1213",6
"1214",6
"1215",6
"1216",6
"1217",6
"1218",6
"1219",6
"1220",6
"1221",6
"1222",6
"1223",6
"1224",6
"1225",6
"1226",6
"1227",6
"1228",6
"1229",6
"1230",6
"1231",6
"1232",6
"1233",6
"1234",6
"1235",6
"1236",6
"1237",6
"1238",6
"1239",6
"1240",6
"1241",6
"1242",6
"1243",6
"1244",6
"1245",6
"1246",6
"1247",6
"1248",6
"1249",6
"1250",6
"1251",6
"1252",6
"1253",6
"1254",6
"1255",6
"1256",6
"1257",6
"1258",6
"1259",6
"1260",6
"1261",6
"1262",6
"1263",6
"1264",6
"1265",6
