"","corona_la"
"1",60
"2",76
"3",876
"4",876
"5",876
"6",1792
"7",876
"8",60
"9",60
"10",60
"11",876
"12",876
"13",60
"14",60
"15",496
"16",60
"17",60
"18",948
"19",940
"20",62
"21",892
"22",948
"23",70
"24",70
"25",30
"26",30
"27",30
"28",30
"29",30
"30",30
"31",62
"32",940
"33",62
"34",62
"35",62
"36",62
"37",62
"38",62
"39",62
"40",62
"41",62
"42",62
"43",62
"44",62
"45",62
"46",1618
"47",794
"48",434
"49",434
"50",644
"51",434
"52",1312
"53",434
"54",434
"55",434
"56",434
"57",638
"58",434
"59",434
"60",434
"61",434
"62",434
"63",434
"64",434
"65",434
"66",1992
"67",434
"68",1256
"69",434
"70",434
"71",434
"72",434
"73",434
"74",434
"75",434
"76",434
"77",434
"78",876
"79",876
"80",876
"81",876
"82",876
"83",876
"84",876
"85",876
"86",876
"87",876
"88",876
"89",876
"90",876
"91",876
"92",876
"93",876
"94",876
"95",876
"96",876
"97",876
"98",876
"99",876
"100",876
"101",876
"102",876
"103",876
"104",876
"105",920
"106",876
"107",876
"108",876
"109",876
"110",876
"111",876
"112",876
"113",876
"114",876
"115",876
"116",876
"117",876
"118",876
"119",876
"120",876
"121",876
"122",876
"123",876
"124",876
"125",876
"126",876
"127",876
"128",876
"129",876
"130",876
"131",876
"132",876
"133",876
"134",2434
"135",876
"136",876
"137",876
"138",876
"139",876
"140",876
"141",876
"142",876
"143",876
"144",876
"145",876
"146",876
"147",876
"148",876
"149",938
"150",876
"151",876
"152",876
"153",1312
"154",876
"155",2434
"156",876
"157",876
"158",876
"159",876
"160",1698
"161",876
"162",876
"163",876
"164",2434
"165",1698
"166",876
"167",876
"168",1698
"169",948
"170",876
"171",876
"172",2434
"173",876
"174",876
"175",2434
"176",876
"177",1610
"178",876
"179",1610
"180",1610
"181",2434
"182",876
"183",1698
"184",876
"185",876
"186",876
"187",876
"188",876
"189",876
"190",876
"191",876
"192",876
"193",876
"194",876
"195",876
"196",876
"197",876
"198",876
"199",876
"200",876
"201",876
"202",876
"203",876
"204",876
"205",876
"206",876
"207",864
"208",42
"209",42
"210",1554
"211",732
"212",732
"213",732
"214",732
"215",732
"216",1554
"217",732
"218",60
"219",60
"220",60
"221",60
"222",60
"223",60
"224",60
"225",60
"226",60
"227",876
"228",876
"229",920
"230",876
"231",876
"232",876
"233",876
"234",876
"235",876
"236",876
"237",876
"238",1312
"239",876
"240",876
"241",876
"242",876
"243",876
"244",876
"245",876
"246",876
"247",876
"248",876
"249",876
"250",876
"251",876
"252",876
"253",876
"254",876
"255",876
"256",876
"257",876
"258",876
"259",876
"260",876
"261",876
"262",876
"263",876
"264",876
"265",876
"266",876
"267",202
"268",202
"269",234
"270",234
"271",234
"272",968
"273",234
"274",234
"275",234
"276",234
"277",234
"278",234
"279",234
"280",234
"281",234
"282",234
"283",234
"284",234
"285",234
"286",234
"287",234
"288",234
"289",312
"290",234
"291",234
"292",1550
"293",234
"294",234
"295",234
"296",1056
"297",234
"298",234
"299",234
"300",234
"301",234
"302",234
"303",234
"304",234
"305",234
"306",234
"307",234
"308",1792
"309",234
"310",234
"311",234
"312",234
"313",234
"314",968
"315",234
"316",804
"317",70
"318",70
"319",70
"320",70
"321",70
"322",70
"323",70
"324",804
"325",70
"326",70
"327",174
"328",174
"329",1052
"330",174
"331",174
"332",174
"333",1732
"334",174
"335",174
"336",174
"337",996
"338",174
"339",174
"340",996
"341",996
"342",816
"343",996
"344",174
"345",174
"346",174
"347",996
"348",174
"349",174
"350",1052
"351",1052
"352",174
"353",876
"354",938
"355",876
"356",876
"357",1052
"358",876
"359",876
"360",876
"361",876
"362",2048
"363",876
"364",1996
"365",2048
"366",3694
"367",3790
"368",1518
"369",876
"370",876
"371",876
"372",3208
"373",1116
"374",938
"375",2638
"376",3116
"377",3168
"378",1052
"379",1116
"380",1116
"381",1610
"382",3588
"383",1198
"384",876
"385",1348
"386",876
"387",1758
"388",1116
"389",1116
"390",948
"391",1012
"392",1758
"393",1490
"394",1788
"395",3514
"396",3588
"397",3634
"398",876
"399",876
"400",876
"401",876
"402",876
"403",876
"404",876
"405",876
"406",876
"407",876
"408",876
"409",876
"410",876
"411",876
"412",876
"413",876
"414",876
"415",876
"416",876
"417",876
"418",876
"419",876
"420",876
"421",876
"422",876
"423",876
"424",876
"425",876
"426",876
"427",3444
"428",2698
"429",2586
"430",3588
"431",3646
"432",876
"433",1758
"434",920
"435",876
"436",876
"437",876
"438",1052
"439",3588
"440",938
"441",1758
"442",1012
"443",1012
"444",948
"445",1012
"446",1014
"447",876
"448",1788
"449",876
"450",876
"451",948
"452",1052
"453",876
"454",876
"455",876
"456",876
"457",1518
"458",1052
"459",876
"460",876
"461",76
"462",876
"463",1004
"464",876
"465",876
"466",1112
"467",1052
"468",876
"469",876
"470",1052
"471",1052
"472",876
"473",876
"474",1012
"475",876
"476",1012
"477",876
"478",876
"479",876
"480",876
"481",876
"482",876
"483",876
"484",876
"485",876
"486",876
"487",1112
"488",876
"489",876
"490",876
"491",876
"492",876
"493",876
"494",876
"495",876
"496",876
"497",920
"498",876
"499",876
"500",876
"501",60
"502",1094
"503",1652
"504",852
"505",1056
"506",434
"507",434
"508",1256
"509",1796
"510",610
"511",1056
"512",610
"513",638
"514",876
"515",670
"516",1796
"517",942
"518",942
"519",434
"520",638
"521",638
"522",2240
"523",718
"524",876
"525",1796
"526",496
"527",1954
"528",1614
"529",2442
"530",434
"531",2842
"532",1642
"533",62
"534",62
"535",936
"536",42
"537",42
"538",42
"539",1282
"540",42
"541",42
"542",42
"543",378
"544",438
"545",1202
"546",820
"547",1056
"548",1056
"549",996
"550",1112
"551",70
"552",174
"553",174
"554",174
"555",174
