"","corona_lat"
"1",349.75
"2",362.833333333333
"3",462.833333333333
"4",462.833333333333
"5",462.833333333333
"6",529.783333333333
"7",462.833333333333
"8",349.75
"9",349.75
"10",349.75
"11",462.833333333333
"12",462.833333333333
"13",349.75
"14",349.75
"15",415.25
"16",349.75
"17",349.75
"18",468.5
"19",469.75
"20",292.1
"21",464.75
"22",468.5
"23",338.283333333333
"24",338.283333333333
"25",352.35
"26",352.35
"27",352.35
"28",352.35
"29",352.35
"30",352.35
"31",292.1
"32",469.75
"33",292.1
"34",292.1
"35",292.1
"36",292.1
"37",292.1
"38",292.1
"39",292.1
"40",292.1
"41",292.1
"42",292.1
"43",292.1
"44",292.1
"45",292.1
"46",517.916666666667
"47",452
"48",403.9
"49",403.9
"50",425.666666666667
"51",403.9
"52",508.25
"53",403.9
"54",403.9
"55",403.9
"56",403.9
"57",416.816666666667
"58",403.9
"59",403.9
"60",403.9
"61",403.9
"62",403.9
"63",403.9
"64",403.9
"65",403.9
"66",554.533333333333
"67",403.9
"68",501.366666666667
"69",403.9
"70",403.9
"71",403.9
"72",403.9
"73",403.9
"74",403.9
"75",403.9
"76",403.9
"77",403.9
"78",462.833333333333
"79",462.833333333333
"80",462.833333333333
"81",462.833333333333
"82",462.833333333333
"83",462.833333333333
"84",462.833333333333
"85",462.833333333333
"86",462.833333333333
"87",462.833333333333
"88",462.833333333333
"89",462.833333333333
"90",462.833333333333
"91",462.833333333333
"92",462.833333333333
"93",462.833333333333
"94",462.833333333333
"95",462.833333333333
"96",462.833333333333
"97",462.833333333333
"98",462.833333333333
"99",462.833333333333
"100",462.833333333333
"101",462.833333333333
"102",462.833333333333
"103",462.833333333333
"104",462.833333333333
"105",466
"106",462.833333333333
"107",462.833333333333
"108",462.833333333333
"109",462.833333333333
"110",462.833333333333
"111",462.833333333333
"112",462.833333333333
"113",462.833333333333
"114",462.833333333333
"115",462.833333333333
"116",462.833333333333
"117",462.833333333333
"118",462.833333333333
"119",462.833333333333
"120",462.833333333333
"121",462.833333333333
"122",462.833333333333
"123",462.833333333333
"124",462.833333333333
"125",462.833333333333
"126",462.833333333333
"127",462.833333333333
"128",462.833333333333
"129",462.833333333333
"130",462.833333333333
"131",462.833333333333
"132",462.833333333333
"133",462.833333333333
"134",604.916666666667
"135",462.833333333333
"136",462.833333333333
"137",462.833333333333
"138",462.833333333333
"139",462.833333333333
"140",462.833333333333
"141",462.833333333333
"142",462.833333333333
"143",462.833333333333
"144",462.833333333333
"145",462.833333333333
"146",462.833333333333
"147",462.833333333333
"148",462.833333333333
"149",467
"150",462.833333333333
"151",462.833333333333
"152",462.833333333333
"153",508.25
"154",462.833333333333
"155",604.916666666667
"156",462.833333333333
"157",462.833333333333
"158",462.833333333333
"159",462.833333333333
"160",556.25
"161",462.833333333333
"162",462.833333333333
"163",462.833333333333
"164",604.916666666667
"165",556.25
"166",462.833333333333
"167",462.833333333333
"168",556.25
"169",468.5
"170",462.833333333333
"171",462.833333333333
"172",604.916666666667
"173",462.833333333333
"174",462.833333333333
"175",604.916666666667
"176",462.833333333333
"177",543.25
"178",462.833333333333
"179",543.25
"180",543.25
"181",604.916666666667
"182",462.833333333333
"183",556.25
"184",462.833333333333
"185",462.833333333333
"186",462.833333333333
"187",462.833333333333
"188",462.833333333333
"189",462.833333333333
"190",462.833333333333
"191",462.833333333333
"192",462.833333333333
"193",462.833333333333
"194",462.833333333333
"195",462.833333333333
"196",462.833333333333
"197",462.833333333333
"198",462.833333333333
"199",462.833333333333
"200",462.833333333333
"201",462.833333333333
"202",462.833333333333
"203",462.833333333333
"204",462.833333333333
"205",462.833333333333
"206",462.833333333333
"207",457.366666666667
"208",353.85
"209",353.85
"210",508.616666666667
"211",442.7
"212",442.7
"213",442.7
"214",442.7
"215",442.7
"216",508.616666666667
"217",442.7
"218",356.1
"219",356.1
