"","corona_lev"
"1",-0.933333333333333
"2",-0.947368421052632
"3",-0.995433789954338
"4",-0.995433789954338
"5",-0.995433789954338
"6",-0.97290412577019
"7",-0.995433789954338
"8",-0.933333333333333
"9",-0.933333333333333
"10",-0.933333333333333
"11",-0.995433789954338
"12",-0.995433789954338
"13",-0.933333333333333
"14",-0.933333333333333
"15",-0.926309559041136
"16",-0.933333333333333
"17",-0.933333333333333
"18",-0.939888635788408
"19",-0.932944191343964
"20",-0.935483870967742
"21",-0.939578264395783
"22",-0.939888635788408
"23",-0.942857142857143
"24",-0.942857142857143
"25",-0.866666666666667
"26",-0.866666666666667
"27",-0.866666666666667
"28",-0.866666666666667
"29",-0.866666666666667
"30",-0.866666666666667
"31",-0.935483870967742
"32",-0.932944191343964
"33",-0.935483870967742
"34",-0.935483870967742
"35",-0.935483870967742
"36",-0.935483870967742
"37",-0.935483870967742
"38",-0.935483870967742
"39",-0.935483870967742
"40",-0.935483870967742
"41",-0.935483870967742
"42",-0.935483870967742
"43",-0.935483870967742
"44",-0.935483870967742
"45",-0.935483870967742
"46",-0.927210848459265
"47",-0.930034279687088
"48",-0.990783410138249
"49",-0.990783410138249
"50",-0.850748610972787
"51",-0.990783410138249
"52",-0.986269879417358
"53",-0.990783410138249
"54",-0.990783410138249
"55",-0.990783410138249
"56",-0.990783410138249
"57",-0.97121784493614
"58",-0.990783410138249
"59",-0.990783410138249
"60",-0.990783410138249
"61",-0.990783410138249
"62",-0.990783410138249
"63",-0.990783410138249
"64",-0.990783410138249
"65",-0.990783410138249
"66",-0.980578428367941
"67",-0.990783410138249
"68",-0.985959508024733
"69",-0.990783410138249
"70",-0.990783410138249
"71",-0.990783410138249
"72",-0.990783410138249
"73",-0.990783410138249
"74",-0.990783410138249
"75",-0.990783410138249
"76",-0.990783410138249
"77",-0.990783410138249
"78",-0.995433789954338
"79",-0.995433789954338
"80",-0.995433789954338
"81",-0.995433789954338
"82",-0.995433789954338
"83",-0.995433789954338
"84",-0.995433789954338
"85",-0.995433789954338
"86",-0.995433789954338
"87",-0.995433789954338
"88",-0.995433789954338
"89",-0.995433789954338
"90",-0.995433789954338
"91",-0.995433789954338
"92",-0.995433789954338
"93",-0.995433789954338
"94",-0.995433789954338
"95",-0.995433789954338
"96",-0.995433789954338
"97",-0.995433789954338
"98",-0.995433789954338
"99",-0.995433789954338
"100",-0.995433789954338
"101",-0.995433789954338
"102",-0.995433789954338
"103",-0.995433789954338
"104",-0.995433789954338
"105",-0.904535100434873
"106",-0.995433789954338
"107",-0.995433789954338
"108",-0.995433789954338
"109",-0.995433789954338
"110",-0.995433789954338
"111",-0.995433789954338
"112",-0.995433789954338
"113",-0.995433789954338
"114",-0.995433789954338
"115",-0.995433789954338
"116",-0.995433789954338
"117",-0.995433789954338
"118",-0.995433789954338
"119",-0.995433789954338
"120",-0.995433789954338
"121",-0.995433789954338
"122",-0.995433789954338
"123",-0.995433789954338
"124",-0.995433789954338
"125",-0.995433789954338
"126",-0.995433789954338
"127",-0.995433789954338
"128",-0.995433789954338
"129",-0.995433789954338
"130",-0.995433789954338
"131",-0.995433789954338
"132",-0.995433789954338
"133",-0.995433789954338
"134",-0.985165393913811
"135",-0.995433789954338
"136",-0.995433789954338
"137",-0.995433789954338
"138",-0.995433789954338
"139",-0.995433789954338
"140",-0.995433789954338
"141",-0.995433789954338
"142",-0.995433789954338
"143",-0.995433789954338
"144",-0.995433789954338
"145",-0.995433789954338
"146",-0.995433789954338
"147",-0.995433789954338
"148",-0.995433789954338
"149",-0.930928062311706
"150",-0.995433789954338
"151",-0.995433789954338
"152",-0.995433789954338
"153",-0.986269879417358
"154",-0.995433789954338
"155",-0.985165393913811
"156",-0.995433789954338
"157",-0.995433789954338
"158",-0.995433789954338
"159",-0.995433789954338
"160",-0.990578011295302
