"corona.Num","corona_nodes"
"1","Q9BYF1"
"2","O75347"
"3","Q92769"
"4","O15226"
"5","Q53GL7"
"6","P04439"
"7","O76064"
"8","P14635"
"9","Q9H2X3"
"10","Q9NNX6"
"11","J3QS39"
"12","P05161"
"13","P29120"
"14","Q9Y5Y6"
"15","P07858"
"16","P07711"
"17","Q8IUN9"
"18","Q9BYX4"
"19","Q96SB4"
"20","P78362"
"21","Q7Z434"
"22","Q9UHD2"
"23","O95786"
"24","Q86WV6"
"25","Q8IWA5"
"26","Q86VM9"
"27","Q6UX04"
"28","P25440"
"29","O60885"
"30","O00203"
"31","Q9Y3U8"
"32","Q9NW13"
"33","Q9NR30"
"34","Q9UN86"
"35","Q9HCE1"
"36","Q92900"
"37","Q8TAD8"
"38","Q8NCA5"
"39","Q6PKG0"
"40","Q13310"
"41","Q13283"
"42","P67870"
"43","P19784"
"44","P11940"
"45","O43818"
"46","Q9C0B5"
"47","Q7Z5G4"
"48","Q9Y6E2"
"49","Q9Y312"
"50","Q9ULX6"
"51","Q9UDR5"
"52","Q9UBU6"
"53","Q9NQC3"
"54","Q9BW92"
"55","Q9BSJ2"
"56","Q9BQT8"
"57","Q96HW7"
"58","Q96HR9"
"59","Q96ER3"
"60","Q96D53"
"61","Q96CW5"
"62","Q8NEW0"
"63","Q7L8L6"
"64","Q6PML9"
"65","Q5JRX3"
"66","Q4KMQ2"
"67","Q10713"
"68","Q00765"
"69","P48556"
"70","P38606"
"71","P38435"
"72","P27105"
"73","P13804"
"74","P11310"
"75","P05026"
"76","O95070"
"77","O75439"
"78","Q14181"
"79","P49643"
"80","P49642"
"81","P09884"
"82","Q99959"
"83","Q8NBJ5"
"84","Q9HAV7"
"85","Q96CW1"
"86","Q969X5"
"87","P55789"
"88","O94973"
"89","Q9HAU0"
"90","Q9H2H8"
"91","Q99081"
"92","Q96IZ5"
"93","Q92615"
"94","Q8IWR0"
"95","Q70EL1"
"96","Q6UUV7"
"97","Q5VUA4"
"98","Q5T6F2"
"99","Q5JSZ5"
"100","Q5EBL8"
"101","Q2T9J0"
"102","Q14157"
"103","Q13546"
"104","O95391"
"105","O75592"
"106","O43823"
"107","O14874"
"108","A3KN83"
"109","P17612"
"110","O14578"
"111","Q9Y2I6"
"112","Q9UJC3"
"113","Q9BV73"
"114","Q9BV19"
"115","Q9BQS8"
"116","Q9BQQ3"
"117","Q99996"
"118","Q96SN8"
"119","Q96N16"
"120","Q96CN9"
"121","Q92995"
"122","Q8TD10"
"123","Q8N8E3"
"124","Q8N4C6"
"125","Q8N3C7"
"126","Q8IWJ2"
"127","Q8IUD2"
"128","Q7Z7A1"
"129","Q76N32"
"130","Q66GS9"
"131","Q5VU43"
"132","Q5VT06"
"133","Q4V328"
"134","Q14789"
"135","Q08379"
"136","Q08378"
"137","Q08117"
"138","Q04726"
"139","Q04724"
"140","P49454"
"141","P35241"
"142","P31323"
"143","P13861"
"144","O95684"
"145","O95613"
"146","O75506"
"147","A7MCY6"
"148","Q9NXA8"
"149","P12268"
"150","P06280"
"151","P07203"
"152","Q9NXH9"
"153","Q9H7F0"
"154","Q99720"
"155","Q15904"
"156","O75964"
"157","Q8WVC6"
"158","Q9NP72"
"159","Q9H7Z7"
"160","Q9BQE4"
"161","Q96DA6"
"162","Q96A26"
"163","Q8WUY8"
"164","Q8WTV0"
"165","Q8NBX0"
"166","Q8N183"
"167","Q7LGA3"
"168","Q6ZRP7"
"169","Q5VT66"
"170","Q5JTV8"
"171","Q13724"
"172","Q12907"
"173","P63218"
"174","P62873"
