"","corona_res"
"1",89.171875
"2",97
"3",172
"4",172
"5",172
"6",222.34375
"7",172
"8",89.171875
"9",89.171875
"10",89.171875
"11",172
"12",172
"13",89.171875
"14",89.171875
"15",136.1875
"16",89.171875
"17",89.171875
"18",176.125
"19",177.0625
"20",56.734375
"21",173.3125
"22",176.125
"23",82.9375
"24",82.9375
"25",89.96875
"26",89.96875
"27",89.96875
"28",89.96875
"29",89.96875
"30",89.96875
"31",56.734375
"32",177.0625
"33",56.734375
"34",56.734375
"35",56.734375
"36",56.734375
"37",56.734375
"38",56.734375
"39",56.734375
"40",56.734375
"41",56.734375
"42",56.734375
"43",56.734375
"44",56.734375
"45",56.734375
"46",213.0625
"47",163.75
"48",128.453125
"49",128.453125
"50",143.875
"51",128.453125
"52",205.9375
"53",128.453125
"54",128.453125
"55",128.453125
"56",128.453125
"57",138.015625
"58",128.453125
"59",128.453125
"60",128.453125
"61",128.453125
"62",128.453125
"63",128.453125
"64",128.453125
"65",128.453125
"66",240.90625
"67",128.453125
"68",201.15625
"69",128.453125
"70",128.453125
"71",128.453125
"72",128.453125
"73",128.453125
"74",128.453125
"75",128.453125
"76",128.453125
"77",128.453125
"78",172
"79",172
"80",172
"81",172
"82",172
"83",172
"84",172
"85",172
"86",172
"87",172
"88",172
"89",172
"90",172
"91",172
"92",172
"93",172
"94",172
"95",172
"96",172
"97",172
"98",172
"99",172
"100",172
"101",172
"102",172
"103",172
"104",172
"105",174.25
"106",172
"107",172
"108",172
"109",172
"110",172
"111",172
"112",172
"113",172
"114",172
"115",172
"116",172
"117",172
"118",172
"119",172
"120",172
"121",172
"122",172
"123",172
"124",172
"125",172
"126",172
"127",172
"128",172
"129",172
"130",172
"131",172
"132",172
"133",172
"134",278.3125
"135",172
"136",172
"137",172
"138",172
"139",172
"140",172
"141",172
"142",172
"143",172
"144",172
"145",172
"146",172
"147",172
"148",172
"149",175
"150",172
"151",172
"152",172
"153",205.9375
"154",172
"155",278.3125
"156",172
"157",172
"158",172
"159",172
"160",241.9375
"161",172
"162",172
"163",172
"164",278.3125
"165",241.9375
"166",172
"167",172
"168",241.9375
