"","corona_sub"
"1",8916.28639926691
"2",7694.54875141705
"3",6216768.1616439
"4",6216768.16163463
"5",6216768.161642
"6",49647336.253089
"7",6216768.16164091
"8",8916.28639926787
"9",8916.28639928041
"10",8916.28639925844
"11",6216768.16164391
"12",6216768.16164389
"13",8916.28639927344
"14",8916.28639927337
"15",935306.461352529
"16",8916.28639927344
"17",8916.28639927334
"18",6642910.34341526
"19",6343692.30467077
"20",654.751572441307
"21",12222059.0094139
"22",6642910.34341523
"23",7070.32577039709
"24",7070.32577039714
"25",9952.28753496913
"26",9952.28753496915
"27",9952.28753496915
"28",9952.28753496919
"29",9952.28753496916
"30",9952.28753496915
"31",654.751572441313
"32",6343692.30467077
"33",654.751572441313
"34",654.751572441315
"35",654.751572441313
"36",654.751572441314
"37",654.751572441314
"38",654.751572441314
"39",654.751572441314
"40",654.751572441312
"41",654.751572441315
"42",654.751572441315
"43",654.751572441314
"44",654.751572441314
"45",654.751572441315
"46",42897864.4469022
"47",9811476.83288623
"48",765168.497607572
"49",765168.497607572
"50",2241469.61424573
"51",765168.497607572
"52",11215975.3706839
"53",765168.497607569
"54",765168.497607572
"55",765168.497607572
"56",765168.497607571
"57",1987340.48920489
"58",765168.497607571
"59",765168.497607571
"60",765168.497607572
"61",765168.497607571
"62",765168.497607573
"63",765168.497607572
"64",765168.49760757
"65",765168.497607571
"66",53536845.7315351
"67",765168.49760757
"68",18273240.3400154
"69",765168.497607568
"70",765168.49760757
"71",765168.497607571
"72",765168.497607572
"73",765168.49760757
"74",765168.497607571
"75",765168.497607573
"76",765168.497607571
"77",765168.497607569
"78",6216768.16164396
"79",6216768.16164396
"80",6216768.16164395
"81",6216768.16164395
"82",6216768.16164394
"83",6216768.16164396
"84",6216768.16164395
"85",6216768.16164394
"86",6216768.16164396
"87",6216768.16164395
"88",6216768.16164394
"89",6216768.16164396
"90",6216768.16164393
"91",6216768.16164397
"92",6216768.16164396
"93",6216768.16164395
"94",6216768.16164396
"95",6216768.16164395
"96",6216768.16164396
"97",6216768.16164396
"98",6216768.16164395
"99",6216768.16164396
"100",6216768.16164395
"101",6216768.16164396
"102",6216768.16164394
"103",6216768.16164394
"104",6216768.16164394
"105",6931653.4108998
"106",6216768.16164395
"107",6216768.16164396
"108",6216768.16164395
"109",6216768.16164395
"110",6216768.16164394
"111",6216768.16164395
"112",6216768.16164397
"113",6216768.16164394
"114",6216768.16164396
"115",6216768.16164396
"116",6216768.16164395
"117",6216768.16164395
"118",6216768.16164395
"119",6216768.16164395
"120",6216768.16164394
"121",6216768.16164395
"122",6216768.16164394
"123",6216768.16164395
"124",6216768.16164394
"125",6216768.16164394
"126",6216768.16164394
