"","influenza_bet"
"1",0.00017587428248976
"2",7.40930292960665e-05
"3",0
"4",0.000491958999331281
"5",0.000626617113453415
"6",0.000626617113453415
"7",0
"8",0.00115021859333339
"9",0
"10",0.000330426780909418
"11",0.000461881418125945
"12",0.000530386168925269
"13",3.37114701498168e-05
"14",0
"15",6.5889996918995e-05
"16",0
"17",0
"18",0.00137826027003422
"19",3.80937465977766e-05
"20",0.000254944132455924
"21",0.000265111145056344
"22",2.71313209060241e-05
"23",0
"24",0.00137077615395063
"25",3.80937465977766e-05
"26",0.000790527714527665
"27",0.00157430823973044
"28",0
"29",0
"30",0.000206082664754223
"31",0
"32",0.000457947257967174
"33",0
"34",0.000542541700461188
"35",1.44326993853001e-05
"36",0
"37",0.00111528064769628
"38",0.000116682365037496
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",7.89045173572458e-05
"46",0.000124342606040625
"47",0
"48",0.000229458226093363
"49",1.44326993853001e-05
"50",0
"51",1.44326993853001e-05
"52",0
"53",0.000756075019435676
"54",0
"55",1.44326993853001e-05
"56",0.000833454531932177
"57",0.00362778308947394
"58",0.00181753493903722
"59",0.00294611179113568
"60",0.000299869755215168
"61",6.51768828114058e-05
"62",0.00096003582673827
"63",0
"64",0
"65",0
"66",0
"67",0.00448407108465691
"68",0.000543962552150947
"69",0.00123530582633488
"70",0
"71",3.00926124099592e-05
"72",5.94412794177031e-05
"73",5.94412794177031e-05
"74",5.94412794177031e-05
"75",0.00233176029283991
"76",0
"77",0.000835267528343116
"78",0.000100484241184629
"79",0.00420396999741019
"80",0.000280180094719374
"81",0.00487089660353166
"82",2.83452238943144e-06
"83",2.83452238943144e-06
"84",2.83452238943144e-06
"85",3.04164645220647e-05
"86",3.04164645220647e-05
"87",3.04164645220647e-05
"88",0.000264476246465559
"89",3.04164645220647e-05
"90",3.52008700046657e-05
"91",2.83452238943144e-06
"92",1.73639209077554e-05
"93",0.000599674786052646
"94",0.000949167562908191
"95",0
"96",1.73639209077554e-05
"97",1.73639209077554e-05
"98",0.000178279356214549
"99",0
"100",0.000694691377598797
"101",1.73639209077554e-05
"102",0.00109817926899283
"103",0.00187556075734418
"104",0.000178279356214549
"105",0.000102726837452896
"106",0.000102726837452896
"107",0.000102726837452896
"108",1.73639209077554e-05
"109",0.000102726837452896
"110",0.00163094149141232
"111",0.000178279356214549
"112",0.000178279356214549
"113",0.00127767853864956
"114",0.000102726837452896
"115",0.000375860555850795
"116",1.94925048561026e-05
"117",0.000503836362150132
"118",0
"119",0.00206209940401011
"120",0.000375860555850795
"121",4.99092691301247e-05
"122",1.94925048561026e-05
"123",1.94925048561026e-05
"124",1.94925048561026e-05
"125",1.94925048561026e-05
"126",1.94925048561026e-05
"127",0.000125540049114997
"128",1.94925048561026e-05
"129",1.94925048561026e-05
"130",1.94925048561026e-05
"131",1.94925048561026e-05
"132",1.94925048561026e-05
"133",0.000139532420580421
"134",0.000571546352595209
