"","influenza_clo"
"1",0.000109769484083425
"2",9.95817566221868e-05
"3",9.60799385088394e-05
"4",0.00012227928588897
"5",0.000117150890346767
"6",0.000117150890346767
"7",9.51474785918173e-05
"8",0.000123548307388189
"9",9.2747171211278e-05
"10",0.000112107623318386
"11",0.000114521300961979
"12",0.00010989010989011
"13",9.87751876728566e-05
"14",9.51474785918173e-05
"15",0.000103305785123967
"16",9.2747171211278e-05
"17",9.51474785918173e-05
"18",0.000124875124875125
"19",0.000100361300682457
"20",0.000106067034365719
"21",0.000110424028268551
"22",0.000101050929668553
"23",9.2747171211278e-05
"24",0.000121153380179307
"25",0.000100361300682457
"26",0.000109075043630017
"27",0.000130005200208008
"28",9.30232558139535e-05
"29",9.6749226006192e-05
"30",0.000104690117252931
"31",9.6749226006192e-05
"32",0.00011671335200747
"33",9.51474785918173e-05
"34",0.000112790435371081
"35",9.8135426889107e-05
"36",9.51474785918173e-05
"37",0.000124100273020601
"38",0.00010535187526338
"39",9.2747171211278e-05
"40",9.6749226006192e-05
"41",9.6749226006192e-05
"42",9.15750915750916e-05
"43",9.2747171211278e-05
"44",9.2747171211278e-05
"45",0.000101502233049127
"46",0.000102186797465767
"47",9.2747171211278e-05
"48",0.000110864745011086
"49",9.8135426889107e-05
"50",9.15750915750916e-05
"51",9.8135426889107e-05
"52",9.2747171211278e-05
"53",0.000114233493260224
"54",9.2747171211278e-05
"55",9.8135426889107e-05
"56",0.000113327289211242
"57",0.000133404482390608
"58",0.000118764845605701
"59",0.000132065504490227
"60",9.85221674876847e-05
"61",0.00010801468999784
"62",0.000125533517449159
"63",9.64134207481682e-05
"64",9.64134207481682e-05
"65",9.64134207481682e-05
"66",9.64134207481682e-05
"67",0.000150829562594268
"68",0.000114129194247889
"69",0.00012987012987013
"70",9.2747171211278e-05
"71",9.57304231284702e-05
"72",9.32835820895522e-05
"73",9.32835820895522e-05
"74",9.32835820895522e-05
"75",0.000139508928571429
"76",9.51474785918173e-05
"77",0.000128106584678452
"78",9.50209045990118e-05
"79",0.000135943447525829
"80",0.000100040016006403
"81",0.000136017410228509
"82",9.44643869261288e-05
"83",9.44643869261288e-05
"84",9.44643869261288e-05
"85",9.88924050632911e-05
"86",9.88924050632911e-05
"87",9.88924050632911e-05
"88",9.9403578528827e-05
"89",9.88924050632911e-05
"90",9.87751876728566e-05
"91",9.44643869261288e-05
"92",9.77517106549365e-05
"93",0.000110741971207087
"94",0.000120627261761158
"95",9.6749226006192e-05
"96",9.77517106549365e-05
"97",9.77517106549365e-05
"98",0.000100969305331179
"99",9.6749226006192e-05
"100",0.000127909951394218
"101",9.77517106549365e-05
"102",0.000129198966408269
"103",0.000118652112007594
"104",0.000100969305331179
"105",9.99800039992002e-05
"106",9.99800039992002e-05
"107",9.99800039992002e-05
"108",9.77517106549365e-05
"109",9.99800039992002e-05
"110",0.000115901715345387
"111",0.000100969305331179
"112",0.000100969305331179
"113",0.00012748597654258
"114",9.99800039992002e-05
"115",9.98203234178479e-05
"116",9.37207122774133e-05
"117",0.000112536574386676
"118",9.31098696461825e-05
"119",0.000130992926381975
"120",9.98203234178479e-05
"121",9.85027580772262e-05
"122",9.37207122774133e-05
"123",9.37207122774133e-05
"124",9.37207122774133e-05
"125",9.37207122774133e-05
"126",9.37207122774133e-05
"127",9.37207122774133e-05
"128",9.37207122774133e-05
"129",9.37207122774133e-05
"130",9.37207122774133e-05
"131",9.37207122774133e-05
"132",9.37207122774133e-05
"133",9.91669972233241e-05
"134",0.000108506944444444
"135",0.000100623867981485
"136",9.2747171211278e-05
"137",0.000120772946859903
"138",0.000147623265426631
"139",0.000123152709359606
"140",0.000121921482565228
"141",0.000143143429716576
"142",0.000112917795844625
"143",0.000110815602836879
"144",9.6749226006192e-05
"145",0.000107112253641817
"146",9.2747171211278e-05
"147",9.6749226006192e-05
"148",9.6749226006192e-05
"149",0.000110204981265153
"150",9.77517106549365e-05
"151",9.8135426889107e-05
"152",9.51474785918173e-05
"153",9.60799385088394e-05
"154",9.8135426889107e-05
"155",0.000108554059921841
"156",0.000125659713495853
"157",9.2747171211278e-05
"158",8.99766060824186e-05
"159",0.000101999184006528
"160",9.2747171211278e-05
"161",0.000111831804965332
"162",9.2747171211278e-05
"163",9.60799385088394e-05
"164",8.99766060824186e-05
"165",9.2747171211278e-05
"166",9.51474785918173e-05
"167",9.2747171211278e-05
"168",0.000108554059921841
"169",9.8135426889107e-05
"170",0.000108554059921841
"171",9.6749226006192e-05
"172",9.31098696461825e-05
"173",9.99800039992002e-05
"174",9.2747171211278e-05
"175",9.8135426889107e-05
"176",0.000107066381156317
"177",9.54016409082236e-05
"178",8.24538258575198e-05
"179",0.000104975855553223
"180",0.000122759636631476
"181",0.000123334977799704
"182",0.000106860440265014
"183",0.000111756817165847
"184",0.000127713920817369
"185",0.000115446779034865
"186",0.00010160536476326
"187",0.000122129946262824
"188",0.00012227928588897
"189",0.000122369065100343
"190",0.000107181136120043
"191",9.6749226006192e-05
"192",0.000132485426603074
"193",0.000107550010755001
"194",9.77517106549365e-05
"195",0.0001232741617357
"196",0.000123639960435213
"197",0.000127779197546639
"198",0.000138927479855515
"199",0.000128040973111396
"200",0.000122129946262824
"201",0.000104843782763682
"202",0.000121891760117016
"203",0.000128040973111396
"204",0.000132135306553911
"205",0.000134770889487871
"206",0.00012758356723654
"207",0.000122579063495955
"208",0.000122339124051872
"209",0.00012227928588897
"210",0.000129366106080207
"211",9.77517106549365e-05
"212",0.000128139415684264
"213",0.000123977188197372
"214",0.000107296137339056
"215",0.000122759636631476
"216",0.000125407574617507
"217",0.000112384805574286
"218",0.000102880658436214
"219",0.000121182743577315
"220",0.000127194098193844
"221",0.000132275132275132
"222",0.000119932837610938
"223",0.000106883283454468
"224",9.95024875621891e-05
"225",0.000139586823003908
"226",0.000128106584678452
"227",0.000128139415684264
"228",0.0001230012300123
"229",0.000124285359184688
"230",0.000120192307692308
"231",0.000128139415684264
"232",0.000113301608882846
"233",0.000122249388753056
"234",9.82125319190729e-05
"235",0.000120685493603669
"236",0.00012709710218607
"237",0.000117426021606388
"238",0.00012045290291496
"239",0.000105618926911703
"240",9.6749226006192e-05
"241",0.000122339124051872
"242",0.00012853470437018
"243",0.000137211855104281
"244",9.91669972233241e-05
"245",0.000132661183337755
"246",0.000122428991185113
"247",9.82511298879937e-05
"248",0.000128040973111396
"249",0.000126198889449773
"250",0.000134625740441572
"251",0.000128303823453939
"252",0.00011384335154827
"253",0.000121270919233568
"254",0.00012306177701206
"255",0.000131268049356787
"256",0.000119189511323004
"257",0.00011528706479133
"258",0.000123122383649347
"259",0.000122819945959224
"260",0.000112485939257593
"261",0.000122729504172803
"262",9.11078717201166e-05
"263",0.000116225011622501
"264",0.000116225011622501
"265",8.84329678103997e-05
"266",0.000122819945959224
"267",0.000108932461873638
"268",0.000128369704749679
"269",0.000122369065100343
"270",0.00012306177701206
"271",9.11078717201166e-05
"272",0.000117288294628196
"273",0.000122369065100343
"274",0.000124409056979348
"275",0.0001230012300123
"276",9.2747171211278e-05
"277",0.00011671335200747
"278",0.000124254473161034
"279",9.11078717201166e-05
"280",0.00012306177701206
"281",0.000108483402039488
"282",0.000122729504172803
"283",9.11078717201166e-05
"284",0.000122669283611384
"285",0.000128303823453939
"286",0.000127844541038098
"287",0.000146627565982405
"288",0.000116225011622501
"289",9.11078717201166e-05
"290",0.000116090085906664
"291",0.000104909777591272
"292",0.000122729504172803
"293",0.000121773015099854
"294",0.000128040973111396
"295",0.00012045290291496
"296",9.11078717201166e-05
"297",0.000127194098193844
"298",8.84329678103997e-05
"299",9.11078717201166e-05
"300",0.000122729504172803
"301",9.11078717201166e-05
"302",0.00012306177701206
"303",0.000122729504172803
"304",0.000135538086202223
"305",0.000121359223300971
"306",0.000127616130678918
"307",9.72762645914397e-05
"308",9.6749226006192e-05
"309",0.000133582687683676
"310",0.000108506944444444
"311",0.000102606197414324
"312",0.00010160536476326
"313",0.000128965695125097
"314",0.000128139415684264
"315",9.77326035965598e-05
"316",0.000106541657788195
"317",0.000108554059921841
"318",8.78889084197574e-05
"319",8.78889084197574e-05
"320",9.33706816059757e-05
"321",0.000124440019910403
"322",8.78889084197574e-05
"323",0.000143595634692705
"324",0.000116849731245618
"325",0.000102606197414324
"326",0.000109601052170101
"327",0.00010919414719371
"328",0.000132766861391397
"329",0.00012990387113536
"330",0.000113301608882846
"331",0.000127746550843127
"332",9.6749226006192e-05
"333",9.6749226006192e-05
"334",0.000107665805340224
"335",0.000134843581445523
"336",9.6749226006192e-05
"337",0.00011441647597254
"338",9.96611520829181e-05
"339",0.000116658889407373
"340",0.000114259597806216
"341",0.000144759698899826
"342",9.6749226006192e-05
"343",0.000107089312486614
"344",9.6749226006192e-05
"345",0.00010530749789385
"346",0.00012385434728759
"347",0.000101667344448963
"348",0.000113301608882846
"349",9.70873786407767e-05
"350",0.000116009280742459
"351",0.000127064803049555
"352",0.000149566257852229
"353",0.000111234705228031
"354",0.000122100122100122
"355",0.000109793588054458
"356",9.77517106549365e-05
"357",0.000114259597806216
"358",0.000113301608882846
"359",0.000124501992031873
"360",0.000101667344448963
"361",0.000107480653482373
"362",9.6749226006192e-05
"363",0.000123639960435213
"364",9.6749226006192e-05
"365",0.000108624809906583
"366",0.000112183082791115
"367",0.000122219506233195
"368",0.000121506682867558
"369",9.6749226006192e-05
"370",0.000113019891500904
"371",0.000116063138347261
"372",9.16254352208173e-05
"373",9.16254352208173e-05
"374",8.71991628880363e-05
"375",8.71991628880363e-05
"376",8.71991628880363e-05
"377",8.71991628880363e-05
"378",8.71991628880363e-05
"379",0.000130208333333333
"380",9.64134207481682e-05
"381",9.64134207481682e-05
"382",9.2747171211278e-05
"383",9.51474785918173e-05
"384",9.51474785918173e-05
"385",8.71991628880363e-05
"386",8.71991628880363e-05
"387",0.000104275286757039
"388",9.44643869261288e-05
"389",0.000127713920817369
"390",0.0001220703125
"391",9.88924050632911e-05
"392",0.000119703136222169
"393",9.44643869261288e-05
"394",9.77517106549365e-05
"395",9.77517106549365e-05
"396",9.97008973080758e-05
"397",0.00010989010989011
"398",0.000109146474568871
"399",9.6749226006192e-05
"400",0.000112485939257593
"401",9.6749226006192e-05
"402",0.000100969305331179
"403",0.000109098843552258
"404",9.93640699523053e-05
"405",9.77326035965598e-05
"406",9.99800039992002e-05
"407",9.0843023255814e-05
"408",9.37207122774133e-05
"409",9.37207122774133e-05
"410",9.37207122774133e-05
"411",0.000126326427488631
"412",9.98601957259836e-05
"413",0.000116495806150979
"414",0.000114051094890511
"415",0.000100462125778581
"416",0.000100462125778581
"417",0.000100462125778581
"418",0.000100462125778581
"419",0.000100462125778581
"420",0.000100462125778581
"421",0.000119846596356663
"422",0.000100462125778581
"423",0.000100462125778581
"424",0.000100462125778581
"425",0.000100462125778581
"426",0.000100462125778581
"427",0.000100462125778581
"428",0.000100462125778581
"429",0.000100462125778581
"430",0.000136202669572324
"431",0.000100462125778581
"432",0.000100462125778581
"433",0.000100462125778581
"434",0.000100462125778581
"435",0.000100462125778581
"436",0.000100462125778581
"437",0.000100462125778581
"438",0.000100462125778581
"439",0.000100462125778581
"440",0.000100462125778581
"441",0.000100462125778581
"442",0.000100462125778581
"443",0.000100462125778581
"444",0.000100462125778581
"445",0.000100462125778581
"446",0.000100462125778581
"447",0.000100462125778581
"448",0.000100462125778581
"449",0.000100462125778581
"450",0.000100462125778581
"451",0.000100462125778581
"452",0.000100462125778581
"453",0.000100462125778581
"454",0.000100462125778581
"455",0.000100462125778581
"456",0.000100462125778581
"457",0.000100462125778581
"458",0.000100462125778581
"459",0.000100462125778581
"460",0.000100462125778581
"461",0.000144759698899826
"462",0.000100462125778581
"463",0.000119961612284069
"464",0.000132696390658174
"465",0.000121447656060238
"466",0.000110570544007077
"467",0.000128106584678452
"468",0.000115207373271889
"469",0.000100462125778581
"470",0.000100462125778581
"471",0.000122639195486878
"472",0.000100462125778581
"473",0.000100462125778581
"474",0.000101812258195887
"475",0.000124316260566882
"476",0.000122219506233195
"477",0.0001220703125
"478",0.000100462125778581
"479",0.000100462125778581
"480",0.000100462125778581
"481",0.000100462125778581
"482",0.000100462125778581
"483",0.000102944204241301
"484",0.000132485426603074
"485",0.000127975428717686
"486",0.000100462125778581
"487",0.000100462125778581
"488",0.000100462125778581
"489",0.000100462125778581
"490",0.000100462125778581
"491",0.000100462125778581
"492",0.000100462125778581
"493",0.000100462125778581
"494",0.000100462125778581
"495",0.000100462125778581
"496",0.000100462125778581
"497",0.000100462125778581
"498",0.000100462125778581
"499",0.000100462125778581
"500",0.000100462125778581
"501",0.000100462125778581
"502",0.000100462125778581
"503",0.000100462125778581
"504",0.000100462125778581
"505",0.000100462125778581
"506",0.000100462125778581
"507",0.000100462125778581
"508",0.000100462125778581
"509",0.000100462125778581
"510",0.0001085776330076
"511",0.000100462125778581
"512",0.000100462125778581
"513",0.000100462125778581
"514",0.000100462125778581
"515",0.000100462125778581
"516",0.000100462125778581
"517",0.000100462125778581
"518",0.000100462125778581
"519",0.000100462125778581
"520",0.000100462125778581
"521",0.000100462125778581
"522",0.00010339123242349
"523",0.000100462125778581
"524",0.000100462125778581
"525",0.000100462125778581
"526",0.000100462125778581
"527",0.000100462125778581
"528",0.000100462125778581
"529",0.000100462125778581
"530",0.000100462125778581
"531",0.000100462125778581
"532",0.000100462125778581
"533",0.000100462125778581
"534",0.000100462125778581
"535",0.000100462125778581
"536",0.000100462125778581
"537",0.000100462125778581
"538",0.000100462125778581
"539",0.000100462125778581
"540",0.000100462125778581
"541",0.00010307153164296
"542",0.000107135204628241
"543",0.000100462125778581
"544",0.000100462125778581
"545",0.000100462125778581
"546",0.00014573010784028
"547",0.00013412017167382
"548",0.000100462125778581
"549",0.000131406044678055
"550",0.000100462125778581
"551",0.000119217930376729
"552",0.000100462125778581
"553",0.000100462125778581
"554",0.000122639195486878
"555",0.000100462125778581
"556",0.000100462125778581
"557",0.000100462125778581
"558",0.000100462125778581
"559",0.000100462125778581
"560",0.000100462125778581
"561",0.000100462125778581
"562",0.000100462125778581
"563",0.000100462125778581
"564",0.000100462125778581
"565",0.000100462125778581
"566",0.000100462125778581
"567",0.000111656989727557
"568",0.000101194090265129
"569",0.000119645848289064
"570",9.35103796521414e-05
"571",9.30232558139535e-05
"572",0.000132872707945788
"573",0.000123334977799704
"574",0.000102944204241301
"575",0.000131821776957553
"576",0.000134156157767642
"577",0.000123915737298637
"578",0.00011953143676787
"579",0.000118259224219489
"580",0.000121536217792902
"581",0.000126968004062976
"582",0.000130924325739722
"583",0.000116306117701791
"584",0.000103820598006645
"585",0.000115393491807062
"586",0.000113636363636364
"587",0.000113947128532361
"588",0.000115233924867481
"589",9.30232558139535e-05
"590",0.000133404482390608
"591",0.000104427736006683
"592",0.000129466597617815
"593",0.000107204116638079
"594",9.95817566221868e-05
"595",0.00011611704598235
"596",9.02364194188775e-05
"597",0.000102606197414324
"598",0.000112714156898106
"599",0.000124347177319075
"600",0.000121891760117016
"601",0.000109146474568871
"602",0.00010972130787799
"603",8.99766060824186e-05
"604",9.69743987587277e-05
"605",0.000113122171945701
"606",0.000124069478908189
"607",8.99766060824186e-05
"608",0.000123031496062992
"609",0.000123670541676973
"610",0.000102354145342886
"611",0.000125659713495853
"612",8.99766060824186e-05
"613",8.99766060824186e-05
"614",0.000110766504209127
"615",0.000111831804965332
"616",0.000116198001394376
"617",9.99800039992002e-05
"618",0.000117564072419469
"619",0.000107619457597934
"620",0.000100623867981485
"621",0.000104318798247444
"622",0.000113636363636364
"623",0.000115794349235757
"624",0.000127975428717686
"625",0.000138504155124654
"626",0.000107619457597934
"627",0.000100704934541793
"628",0.000118287201324817
"629",0.000113096584483149
"630",0.00010160536476326
"631",0.000112688753662384
"632",0.000101112234580384
"633",0.00012465719272002
"634",0.00011671335200747
"635",0.000113352981183405
"636",9.66557123526e-05
"637",0.000111333778668448
"638",0.000107158165452207
"639",0.000116198001394376
"640",0.000146327187591454
"641",9.66557123526e-05
"642",0.000107619457597934
"643",0.000104253544620517
"644",0.000113352981183405
"645",0.000100120144173008
"646",0.000107158165452207
"647",0.000100623867981485
"648",0.00011125945705385
"649",0.000107619457597934
"650",0.000107619457597934
"651",0.000107619457597934
"652",0.000107619457597934
"653",0.000111982082866741
"654",9.66557123526e-05
"655",9.9601593625498e-05
"656",0.000100542931831892
"657",0.000107619457597934
"658",0.000100120144173008
"659",0.000122699386503067
"660",9.60799385088394e-05
"661",0.000116225011622501
"662",0.000107158165452207
"663",0.000107619457597934
"664",0.000107158165452207
"665",0.000115821172110262
"666",0.000100623867981485
"667",9.73330737784699e-05
"668",0.000107619457597934
"669",0.000129668049792531
"670",0.000113430127041742
"671",0.000114207400639561
"672",9.4876660341556e-05
"673",0.00010801468999784
"674",0.000102061645233721
"675",0.000146156094709149
"676",0.000117370892018779
"677",9.4876660341556e-05
"678",9.4876660341556e-05
"679",0.000100120144173008
"680",0.00011671335200747
"681",0.000107158165452207
"682",0.000100120144173008
"683",0.000100120144173008
"684",9.60799385088394e-05
"685",0.000135354629128316
"686",0.000123793018073781
"687",0.000127648710748021
"688",9.60799385088394e-05
"689",0.00010354110581901
"690",0.000117288294628196
"691",9.72951936174353e-05
"692",0.000104931794333683
"693",0.000100867460157353
"694",0.000100120144173008
"695",0.00013437248051599
"696",9.20979922637686e-05
"697",9.15750915750916e-05
"698",9.99600159936026e-05
"699",9.92260369120857e-05
"700",9.30405656866394e-05
"701",9.30405656866394e-05
"702",0.000119645848289064
"703",0.000124409056979348
"704",0.000117288294628196
"705",0.000120889748549323
"706",0.000105574324324324
"707",9.15750915750916e-05
"708",9.30405656866394e-05
"709",0.000100180324584252
"710",0.000121212121212121
"711",0.000119274809160305
"712",0.000129433083096039
"713",0.000103177878662815
"714",0.000103755965968043
"715",0.000103177878662815
"716",0.000116522955022139
"717",9.35103796521414e-05
"718",0.00012591286829514
"719",0.000107898144151921
"720",0.000117757889778615
"721",0.000108389334489486
"722",0.000130344108446298
"723",0.000124781632143748
"724",0.000122669283611384
"725",9.30405656866394e-05
"726",0.000119331742243437
"727",0.000121124031007752
"728",9.30405656866394e-05
"729",0.000118371212121212
"730",0.000119019281123542
"731",9.30405656866394e-05
"732",0.000117674746999294
"733",0.000116658889407373
"734",9.30405656866394e-05
"735",9.30405656866394e-05
"736",0.000123517786561265
"737",0.000102817191034341
"738",0.000102438024994878
"739",0.000105596620908131
"740",0.000112283853581855
"741",9.15750915750916e-05
"742",0.000116198001394376
"743",9.30405656866394e-05
"744",9.30405656866394e-05
"745",0.000102438024994878
"746",9.15750915750916e-05
"747",0.000108624809906583
"748",9.30405656866394e-05
"749",9.30405656866394e-05
"750",0.00010515247108307
"751",9.35103796521414e-05
"752",9.15750915750916e-05
"753",9.30405656866394e-05
"754",9.15750915750916e-05
"755",9.30405656866394e-05
"756",0.000102061645233721
"757",9.30405656866394e-05
"758",9.15750915750916e-05
"759",9.30405656866394e-05
"760",0.000109385254867644
"761",9.15750915750916e-05
"762",0.000106315118009781
"763",9.30405656866394e-05
