"","influenza_dif"
"1",2304
"2",693
"3",372
"4",2376
"5",1916
"6",1916
"7",321
"8",2974
"9",185
"10",1663
"11",1984
"12",1590
"13",557
"14",321
"15",990
"16",185
"17",321
"18",4063
"19",907
"20",1319
"21",1336
"22",725
"23",185
"24",2811
"25",907
"26",1445
"27",4185
"28",219
"29",404
"30",1122
"31",404
"32",1876
"33",321
"34",2364
"35",586
"36",321
"37",2696
"38",1311
"39",185
"40",404
"41",404
"42",153
"43",185
"44",185
"45",765
"46",1060
"47",185
"48",1504
"49",586
"50",153
"51",586
"52",185
"53",2127
"54",185
"55",586
"56",2318
"57",4265
"58",2619
"59",3975
"60",513
"61",1046
"62",2884
"63",385
"64",385
"65",385
"66",385
"67",6498
"68",1766
"69",4637
"70",185
"71",374
"72",242
"73",242
"74",242
"75",5419
"76",321
"77",4652
"78",366
"79",5129
"80",627
"81",3795
"82",309
"83",309
"84",309
"85",694
"86",694
"87",694
"88",751
"89",694
"90",630
"91",309
"92",513
"93",1682
"94",2618
"95",404
"96",513
"97",513
"98",815
"99",404
"100",4582
"101",513
"102",4844
"103",3111
"104",815
"105",706
"106",706
"107",706
"108",513
"109",706
"110",1780
"111",815
"112",815
"113",3744
"114",706
"115",615
"116",302
"117",2214
"118",231
"119",4506
"120",615
"121",519
"122",302
"123",302
"124",302
"125",302
"126",302
"127",288
"128",302
"129",302
"130",302
"131",302
"132",302
"133",646
"134",1381
"135",778
"136",185
"137",2935
"138",6249
"139",4343
"140",3337
"141",4969
"142",1574
"143",2097
"144",404
"145",1229
"146",185
"147",404
"148",404
"149",1510
"150",513
"151",586
"152",321
"153",372
"154",586
"155",1183
"156",3076
"157",185
"158",40
"159",796
"160",185
"161",1420
"162",185
"163",372
"164",40
"165",185
"166",321
"167",185
"168",1183
"169",586
"170",1183
"171",404
"172",231
"173",739
"174",185
"175",586
"176",1223
"177",338
"178",11
"179",1084
"180",3434
"181",2870
"182",1063
"183",2162
"184",4542
"185",1860
"186",756
"187",3832
"188",4112
"189",3291
"190",1331
"191",404
"192",4802
"193",1352
"194",513
"195",3912
"196",3131
"197",3965
"198",4794
"199",4522
"200",3832
"201",922
"202",4050
"203",4522
"204",4781
"205",4005
"206",4195
"207",4237
"208",3854
"209",4112
"210",4538
"211",513
"212",4604
"213",4021
"214",1491
"215",4099
"216",3861
"217",2015
"218",825
"219",3033
"220",4241
"221",4587
"222",2701
"223",1326
"224",708
"225",5475
"226",4416
"227",4604
"228",4221
"229",4190
"230",3249
"231",4604
"232",2316
"233",3618
"234",549
"235",2718
"236",3941
"237",2641
"238",3262
"239",973
"240",404
"241",4194
"242",4797
"243",4768
"244",646
"245",4894
"246",4183
"247",537
"248",4531
"249",4078
"250",4571
"251",4653
"252",1855
"253",3709
"254",4374
"255",4703
"256",3988
"257",2916
"258",4393
"259",4331
"260",2368
"261",4249
"262",133
"263",3268
"264",3268
"265",71
"266",4331
"267",2045
"268",4735
"269",4004
"270",4374
"271",133
"272",3700
"273",4081
"274",3645
"275",4292
"276",275
"277",3595
"278",4184
"279",133
"280",4374
"281",1117
"282",4249
"283",133
"284",4170
"285",4574
"286",3837
"287",6390
"288",3268
"289",133
"290",2689
"291",1029
"292",4249
"293",3897
"294",4531
"295",4015
"296",133
"297",4559
"298",71
"299",133
"300",4249
"301",133
"302",4374
"303",4249
"304",4285
"305",3863
"306",4460
"307",438
"308",404
"309",3140
"310",1151
"311",989
"312",756
"313",4064
"314",4604
"315",475
"316",1001
"317",1614
"318",62
"319",62
"320",304
"321",4322
"322",62
"323",5809
"324",2273
"325",776
"326",1269
"327",1288
"328",4815
"329",3834
"330",2316
"331",3946
"332",404
"333",404
"334",1175
"335",4927
"336",404
"337",1949
"338",623
"339",2379
"340",2668
"341",5054
"342",404
"343",1360
"344",404
"345",979
"346",4321
"347",692
"348",2316
"349",424
"350",2857
"351",4124
"352",6051
"353",1741
"354",2498
"355",1655
"356",513
"357",2668
"358",2316
"359",3073
"360",692
"361",1080
"362",404
"363",2795
"364",404
"365",1432
"366",1488
"367",3419
"368",3314
"369",404
"370",1378
"371",2748
"372",200
"373",200
"374",57
"375",57
"376",57
"377",57
"378",57
"379",4495
"380",385
"381",385
"382",185
"383",321
"384",321
"385",57
"386",57
"387",841
"388",309
"389",3765
"390",3238
"391",694
"392",2550
"393",309
"394",513
"395",513
"396",674
"397",1577
"398",1421
"399",404
"400",2328
"401",404
"402",815
"403",1390
"404",635
"405",475
"406",706
"407",109
"408",302
"409",302
"410",302
"411",2664
"412",798
"413",2017
"414",1958
"415",597
"416",597
"417",597
"418",597
"419",597
"420",597
"421",1949
"422",597
"423",597
"424",597
"425",597
"426",597
"427",597
"428",597
"429",597
"430",5250
"431",597
"432",597
"433",597
"434",597
"435",597
"436",597
"437",597
"438",597
"439",597
"440",597
"441",597
"442",597
"443",597
"444",597
"445",597
"446",597
"447",597
"448",597
"449",597
"450",597
"451",597
"452",597
"453",597
"454",597
"455",597
"456",597
"457",597
"458",597
"459",597
"460",597
"461",5778
"462",597
"463",3041
"464",3211
"465",3908
"466",1141
"467",3860
"468",1658
"469",597
"470",597
"471",4303
"472",597
"473",597
"474",668
"475",3582
"476",4099
"477",4138
"478",597
"479",597
"480",597
"481",597
"482",597
"483",738
"484",5145
"485",4089
"486",597
"487",597
"488",597
"489",597
"490",597
"491",597
"492",597
"493",597
"494",597
"495",597
"496",597
"497",597
"498",597
"499",597
"500",597
"501",597
"502",597
"503",597
"504",597
"505",597
"506",597
"507",597
"508",597
"509",597
"510",1133
"511",597
"512",597
"513",597
"514",597
"515",597
"516",597
"517",597
"518",597
"519",597
"520",597
"521",597
"522",782
"523",597
"524",597
"525",597
"526",597
"527",597
"528",597
"529",597
"530",597
"531",597
"532",597
"533",597
"534",597
"535",597
"536",597
"537",597
"538",597
"539",597
"540",597
"541",949
"542",969
"543",597
"544",597
"545",597
"546",5395
"547",4526
"548",597
"549",4213
"550",597
"551",3227
"552",597
"553",597
"554",4303
"555",597
"556",597
"557",597
"558",597
"559",597
"560",597
"561",597
"562",597
"563",597
"564",597
"565",597
"566",597
"567",1282
"568",831
"569",2617
"570",420
"571",219
"572",3680
"573",2976
"574",837
"575",4020
"576",3978
"577",2537
"578",2637
"579",2629
"580",2624
"581",2838
"582",3449
"583",2323
"584",1059
"585",2116
"586",1761
"587",2113
"588",1932
"589",219
"590",3903
"591",917
"592",3737
"593",1293
"594",604
"595",2198
"596",60
"597",721
"598",1801
"599",2695
"600",2400
"601",1390
"602",1492
"603",40
"604",425
"605",1718
"606",4002
"607",40
"608",2748
"609",3173
"610",701
"611",2484
"612",40
"613",40
"614",1627
"615",2005
"616",2393
"617",689
"618",2372
"619",1310
"620",778
"621",952
"622",1985
"623",1975
"624",3080
"625",4753
"626",1310
"627",731
"628",2054
"629",1497
"630",699
"631",1602
"632",717
"633",2904
"634",1938
"635",1962
"636",465
"637",1643
"638",1217
"639",2393
"640",5854
"641",465
"642",1310
"643",904
"644",1962
"645",685
"646",1217
"647",778
"648",1346
"649",1310
"650",1310
"651",1310
"652",1310
"653",1846
"654",465
"655",603
"656",782
"657",1310
"658",685
"659",2765
"660",372
"661",2410
"662",1217
"663",1310
"664",1217
"665",1915
"666",778
"667",443
"668",1310
"669",3500
"670",1947
"671",1630
"672",317
"673",1039
"674",954
"675",4836
"676",2209
"677",317
"678",317
"679",685
"680",1893
"681",1217
"682",685
"683",685
"684",372
"685",4102
"686",3669
"687",3725
"688",372
"689",1002
"690",2409
"691",454
"692",961
"693",728
"694",685
"695",5035
"696",231
"697",153
"698",746
"699",538
"700",342
"701",342
"702",3988
"703",3929
"704",2624
"705",3936
"706",1180
"707",153
"708",342
"709",816
"710",2330
"711",2545
"712",3764
"713",995
"714",1188
"715",995
"716",2294
"717",420
"718",3750
"719",1517
"720",2518
"721",1653
"722",4267
"723",3010
"724",3167
"725",342
"726",2273
"727",2443
"728",342
"729",3265
"730",2235
"731",342
"732",2098
"733",2019
"734",342
"735",342
"736",4053
"737",1079
"738",977
"739",1018
"740",1997
"741",153
"742",2228
"743",342
"744",342
"745",977
"746",153
"747",1649
"748",342
"749",342
"750",1179
"751",420
"752",153
"753",342
"754",153
"755",342
"756",1018
"757",342
"758",153
"759",342
"760",1363
"761",153
"762",1332
"763",342
"764",697
"765",2851
"766",698
"767",663
"768",2929
"769",995
"770",420
"771",4079
"772",4901
"773",153
"774",957
"775",878
"776",342
"777",737
"778",1266
"779",4330
"780",3866
"781",342
"782",4129
"783",529
"784",342
"785",1321
"786",995
"787",3157
"788",3243
"789",3660
"790",342
"791",1504
"792",2136
"793",917
"794",907
"795",1846
"796",1045
"797",1015
"798",231
"799",231
"800",1525
"801",153
"802",1688
"803",3592
"804",995
"805",1759
"806",420
"807",663
"808",409
"809",153
"810",4868
"811",441
"812",153
"813",1406
"814",153
"815",153
"816",404
"817",2465
"818",404
"819",563
"820",404
"821",231
"822",616
"823",231
"824",231
"825",231
"826",185
"827",185
"828",1354
"829",540
"830",2856
"831",1885
"832",2414
"833",2212
"834",2087
"835",1910
"836",1615
"837",2125
"838",3949
"839",1491
"840",638
"841",2584
"842",2250
"843",1942
"844",1615
"845",3688
"846",2582
"847",1615
"848",3558
"849",321
"850",1615
"851",3100
"852",5583
"853",1945
"854",3570
"855",1260
"856",5222
"857",2587
"858",817
"859",321
"860",4132
"861",2127
"862",1064
"863",1928
"864",659
"865",1615
"866",609
"867",1921
"868",994
"869",2212
"870",4207
"871",4906
"872",1190
"873",321
"874",706
"875",1526
"876",2377
"877",1615
"878",1615
"879",1010
"880",4527
"881",1529
"882",1144
"883",994
"884",1698
"885",1610
"886",2761
"887",994
"888",1359
"889",638
"890",934
"891",1615
"892",1615
"893",2795
"894",706
"895",851
"896",1349
"897",1474
"898",847
"899",4820
"900",321
"901",1294
"902",355
"903",1294
"904",1294
"905",355
"906",643
"907",643
"908",1294
"909",355
"910",1169
"911",784
"912",355
"913",1638
"914",784
"915",1028
"916",740
"917",496
"918",355
"919",1169
"920",1028
"921",643
"922",2310
"923",909
"924",1169
"925",784
"926",4785
"927",1240
"928",2545
"929",355
"930",643
"931",643
"932",930
"933",2965
"934",355
"935",643
"936",355
"937",1109
"938",1294
"939",1028
"940",970
"941",909
"942",643
"943",1169
"944",355
"945",355
"946",1169
"947",355
"948",2606
"949",1044
"950",1083
"951",410
"952",176
"953",406
"954",1314
"955",478
"956",1288
"957",93
"958",1010
"959",93
"960",2537
"961",93
"962",93
"963",481
"964",187
"965",653
"966",2326
"967",78
"968",78
"969",78
"970",2326
"971",78
"972",78
"973",1170
"974",1518
"975",1518
"976",78
"977",1606
"978",267
"979",78
"980",78
"981",309
"982",610
"983",1002
"984",93
"985",93
"986",93
"987",1135
"988",93
"989",93
"990",78
"991",78
"992",78
"993",78
"994",83
"995",242
"996",83
"997",133
"998",83
"999",133
"1000",83
"1001",83
"1002",133
"1003",530
"1004",83
"1005",734
"1006",83
"1007",83
"1008",83
"1009",83
"1010",658
"1011",83
"1012",83
"1013",704
"1014",83
"1015",83
"1016",1111
"1017",314
"1018",83
"1019",371
"1020",1039
"1021",951
"1022",2077
"1023",83
"1024",468
"1025",83
"1026",744
"1027",83
"1028",487
"1029",364
"1030",83
"1031",83
"1032",1072
"1033",687
"1034",83
"1035",83
"1036",125
"1037",1973
"1038",125
"1039",939
"1040",651
"1041",4619
"1042",1672
"1043",125
"1044",939
"1045",266
"1046",798
"1047",510
"1048",554
"1049",125
"1050",266
"1051",125
"1052",1783
"1053",413
"1054",413
"1055",1727
"1056",125
"1057",480
"1058",726
"1059",125
"1060",801
"1061",579
"1062",4162
"1063",939
"1064",1737
"1065",1536
"1066",1643
"1067",125
"1068",2700
"1069",510
"1070",768
"1071",125
"1072",429
"1073",429
"1074",526
"1075",429
"1076",538
"1077",429
"1078",496
"1079",1090
"1080",141
"1081",802
"1082",526
"1083",141
"1084",141
"1085",429
"1086",454
"1087",429
"1088",141
"1089",2148
"1090",429
"1091",1093
"1092",1486
"1093",814
"1094",141
"1095",429
"1096",630
"1097",313
"1098",313
"1099",2414
"1100",845
"1101",2800
"1102",1064
"1103",989
"1104",1267
"1105",1221
"1106",1893
"1107",313
"1108",1262
"1109",313
"1110",532
"1111",1162
"1112",313
"1113",313
"1114",630
"1115",313
"1116",313
"1117",313
"1118",313
"1119",313
"1120",313
"1121",313
"1122",313
"1123",3713
"1124",189
"1125",313
"1126",313
"1127",313
"1128",845
"1129",313
"1130",313
"1131",313
"1132",313
"1133",313
"1134",313
"1135",313
"1136",1162
"1137",313
"1138",685
"1139",50
"1140",50
"1141",338
"1142",1142
"1143",1342
"1144",50
"1145",50
"1146",50
"1147",2437
"1148",189
"1149",189
"1150",189
"1151",189
"1152",189
"1153",189
"1154",189
"1155",1440
"1156",50
"1157",50
"1158",50
"1159",435
"1160",385
"1161",385
"1162",385
"1163",1179
"1164",385
"1165",698
"1166",673
"1167",385
"1168",385
"1169",698
"1170",385
"1171",288
"1172",288
"1173",288
"1174",288
"1175",288
"1176",288
"1177",288
"1178",288
"1179",288
"1180",288
"1181",288
"1182",755
"1183",385
"1184",385
"1185",385
"1186",385
"1187",385
"1188",385
"1189",673
"1190",986
"1191",385
"1192",385
"1193",385
"1194",385
"1195",601
"1196",288
"1197",288
"1198",288
"1199",288
"1200",288
"1201",624
"1202",288
"1203",1808
"1204",288
"1205",1810
"1206",288
"1207",122
"1208",526
"1209",1786
"1210",122
"1211",2609
"1212",2156
"1213",1260
"1214",1921
"1215",1260
"1216",1657
"1217",5130
"1218",4178
"1219",4677
"1220",1260
"1221",1260
"1222",597
"1223",597
"1224",1129
"1225",1129
"1226",597
"1227",2434
"1228",597
"1229",597
"1230",2180
"1231",1001
"1232",597
"1233",597
"1234",3145
"1235",597
"1236",4216
"1237",1484
"1238",1273
"1239",5290
"1240",597
"1241",3691
"1242",3909
"1243",3149
"1244",3973
"1245",597
"1246",2261
"1247",597
"1248",3221
"1249",4056
"1250",1273
"1251",918
"1252",597
"1253",597
"1254",3633
"1255",6914
"1256",597
"1257",2668
"1258",3481
"1259",2883
"1260",1334
"1261",597
"1262",597
"1263",597
"1264",597
"1265",597
"1266",597
"1267",597
"1268",597
"1269",782
"1270",597
"1271",597
"1272",3834
"1273",2249
"1274",892
"1275",4393
"1276",109
"1277",5168
"1278",2222
"1279",3804
"1280",673
"1281",1334
"1282",673
"1283",313
"1284",676
"1285",865
"1286",2279
"1287",71
"1288",1649
"1289",4187
"1290",82
"1291",385
"1292",82
"1293",1713
"1294",1061
"1295",696
"1296",2699
"1297",385
"1298",385
"1299",1433
"1300",2691
"1301",989
"1302",109
"1303",34
"1304",3419
"1305",604
"1306",1408
"1307",1652
"1308",2264
"1309",1506
"1310",1567
"1311",109
"1312",1637
"1313",2757
"1314",578
"1315",552
"1316",313
"1317",313
"1318",845
"1319",3490
"1320",395
"1321",71
"1322",109
"1323",1003
"1324",2668
"1325",2661
"1326",1025
"1327",313
"1328",385
"1329",385
"1330",1695
"1331",4079
"1332",3880
"1333",673
"1334",1908
"1335",1440
"1336",2591
"1337",2864
"1338",4242
"1339",845
"1340",4115
"1341",532
"1342",2486
"1343",2992
"1344",288
"1345",82
"1346",1406
"1347",1721
"1348",676
"1349",385
"1350",891
"1351",385
"1352",385
"1353",959
"1354",3812
"1355",288
"1356",2182
"1357",3400
"1358",4523
"1359",673
"1360",845
"1361",1162
"1362",71
"1363",1833
"1364",845
"1365",385
"1366",676
"1367",46
"1368",3577
"1369",849
"1370",4298
"1371",4125
"1372",673
"1373",3932
"1374",2261
"1375",2763
"1376",385
"1377",486
"1378",532
"1379",5174
"1380",764
"1381",82
"1382",5055
"1383",2270
"1384",4026
"1385",3157
"1386",3025
"1387",5605
"1388",71
"1389",673
"1390",4342
"1391",2975
"1392",1549
"1393",2907
"1394",3266
"1395",2034
"1396",1445
"1397",2509
"1398",2120
"1399",3328
"1400",4052
"1401",969
"1402",313
"1403",82
"1404",3446
"1405",1811
"1406",385
"1407",4624
"1408",4274
"1409",3508
"1410",352
"1411",758
"1412",2818
"1413",34
"1414",1182
"1415",1912
"1416",2237
"1417",1324
"1418",288
"1419",757
"1420",4089
"1421",3107
"1422",3834
"1423",385
"1424",764
"1425",1580
"1426",5267
"1427",46
"1428",385
"1429",46
"1430",532
"1431",342
"1432",940
"1433",2518
"1434",5470
"1435",764
"1436",3156
"1437",3944
"1438",3231
"1439",845
"1440",845
"1441",313
"1442",189
"1443",385
"1444",917
"1445",313
"1446",34
"1447",313
"1448",46
"1449",684
"1450",385
"1451",82
"1452",4113
"1453",2954
"1454",3460
"1455",82
"1456",673
"1457",82
"1458",1587
"1459",532
"1460",313
"1461",82
"1462",1506
"1463",4360
"1464",288
"1465",2825
"1466",593
"1467",313
"1468",352
"1469",313
"1470",399
"1471",1061
"1472",764
"1473",313
"1474",46
"1475",1823
"1476",618
"1477",1913
"1478",385
"1479",640
"1480",313
"1481",3347
"1482",313
"1483",288
