"","influenza_ecc"
"1",4
"2",6
"3",6
"4",4
"5",6
"6",6
"7",6
"8",4
"9",6
"10",6
"11",6
"12",6
"13",6
"14",6
"15",6
"16",6
"17",6
"18",4
"19",6
"20",6
"21",6
"22",6
"23",6
"24",4
"25",6
"26",4
"27",4
"28",6
"29",6
"30",6
"31",6
"32",6
"33",6
"34",4
"35",6
"36",6
"37",5
"38",6
"39",6
"40",6
"41",6
"42",6
"43",6
"44",6
"45",6
"46",6
"47",6
"48",6
"49",6
"50",6
"51",6
"52",6
"53",6
"54",6
"55",6
"56",4
"57",4
"58",6
"59",4
"60",6
"61",4
"62",4
"63",5
"64",5
"65",5
"66",5
"67",4
"68",5
"69",4
"70",6
"71",6
"72",6
"73",6
"74",6
"75",4
"76",6
"77",4
"78",6
"79",4
"80",5
"81",4
"82",6
"83",6
"84",6
"85",5
"86",5
"87",5
"88",5
"89",5
"90",6
"91",6
"92",6
"93",4
"94",4
"95",6
"96",6
"97",6
"98",6
"99",6
"100",4
"101",6
"102",4
"103",4
"104",6
"105",6
"106",6
"107",6
"108",6
"109",6
"110",4
"111",6
"112",6
"113",4
"114",6
"115",6
"116",6
"117",4
"118",6
"119",4
"120",6
"121",6
"122",6
"123",6
"124",6
"125",6
"126",6
"127",6
"128",6
"129",6
"130",6
"131",6
"132",6
"133",6
"134",5
"135",6
"136",6
"137",4
"138",4
"139",4
"140",4
"141",4
"142",4
"143",4
"144",6
"145",6
"146",6
"147",6
"148",6
"149",6
"150",6
"151",6
"152",6
"153",6
"154",6
"155",6
"156",4
"157",6
"158",6
"159",6
"160",6
"161",6
"162",6
"163",6
"164",6
"165",6
"166",6
"167",6
"168",6
"169",6
"170",6
"171",6
"172",6
"173",6
"174",6
"175",6
"176",6
"177",6
"178",6
"179",6
"180",4
"181",4
"182",6
"183",4
"184",4
"185",4
"186",6
"187",4
"188",4
"189",4
"190",4
"191",6
"192",4
"193",4
"194",6
"195",4
"196",4
"197",4
"198",4
"199",4
"200",4
