"","influenza_geo"
"1",1055
"2",592
"3",412
"4",1521
"5",1342
"6",1342
"7",361
"8",1559
"9",225
"10",1151
"11",1244
"12",1060
"13",552
"14",361
"15",773
"16",225
"17",361
"18",1599
"19",631
"20",897
"21",1084
"22",666
"23",225
"24",1481
"25",631
"26",1023
"27",1758
"28",257
"29",447
"30",836
"31",447
"32",1327
"33",361
"34",1174
"35",519
"36",361
"37",1578
"38",866
"39",225
"40",447
"41",447
"42",192
"43",225
"44",225
"45",687
"46",719
"47",225
"48",1102
"49",519
"50",192
"51",519
"52",225
"53",1231
"54",225
"55",519
"56",1198
"57",1854
"58",1396
"59",1818
"60",538
"61",984
"62",1626
"63",428
"64",428
"65",428
"66",428
"67",2284
"68",1229
"69",1753
"70",225
"71",391
"72",253
"73",253
"74",253
"75",2017
"76",361
"77",1700
"78",355
"79",1921
"80",613
"81",1927
"82",328
"83",328
"84",328
"85",556
"86",556
"87",556
"88",580
"89",556
"90",551
"91",328
"92",499
"93",1094
"94",1463
"95",447
"96",499
"97",499
"98",660
"99",447
"100",1696
"101",499
"102",1732
"103",1391
"104",660
"105",612
"106",612
"107",612
"108",499
"109",612
"110",1295
"111",660
"112",660
"113",1685
"114",612
"115",604
"116",304
"117",1167
"118",270
"119",1787
"120",604
"121",538
"122",304
"123",304
"124",304
"125",304
"126",304
"127",302
"128",304
"129",304
"130",304
"131",304
"132",304
"133",570
"134",1002
"135",644
"136",225
"137",1466
"138",2210
"139",1543
"140",1507
"141",2110
"142",1182
"143",1099
"144",447
"145",944
"146",225
"147",447
"148",447
"149",1075
"150",499
"151",519
"152",361
"153",412
"154",519
"155",1007
"156",1625
"157",225
"158",78
"159",711
"160",225
"161",1141
"162",225
"163",412
"164",78
"165",225
"166",361
"167",225
"168",1007
"169",519
"170",1007
"171",447
"172",270
"173",612
"174",225
"175",519
"176",942
"177",373
"178",32
"179",848
"180",1532
"181",1556
"182",934
"183",1135
"184",1690
"185",1275
"186",693
"187",1512
"188",1516
"189",1521
"190",947
"191",447
"192",1829
"193",961
"194",499
"195",1550
"196",1563
"197",1691
"198",2003
"199",1700
"200",1512
"201",842
"202",1504
"203",1700
"204",1821
"205",1893
"206",1687
"207",1524
"208",1518
"209",1516
"210",1738
"211",499
"212",1702
"213",1572
"214",950
"215",1532
"216",1617
"217",1160
"218",752
"219",1481
"220",1674
"221",1823
"222",1441
"223",930
"224",586
"225",2015
"226",1701
"227",1702
"228",1539
"229",1582
"230",1449
"231",1702
"232",1198
"233",1517
"234",522
"235",1464
"236",1672
"237",1351
"238",1457
"239",877
"240",447
"241",1517
"242",1712
"243",1957
"244",570
"245",1835
"246",1520
"247",524
"248",1700
"249",1643
"250",1891
"251",1707
"252",1214
"253",1483
"254",1540
"255",1794
"256",1409
"257",1272
"258",1542
"259",1533
"260",1164
"261",1531
"262",151
"263",1306
"264",1306
"265",102
"266",1533
"267",1020
"268",1708
"269",1519
"270",1540
"271",151
"272",1342
"273",1518
"274",1586
"275",1539
"276",241
"277",1323
"278",1580
"279",151
"280",1540
"281",1003
"282",1531
"283",151
"284",1529
"285",1707
"286",1692
"287",2186
"288",1306
"289",151
"290",1302
"291",846
"292",1531
"293",1500
"294",1700
"295",1453
"296",151
"297",1670
"298",102
"299",151
"300",1531
"301",151
"302",1540
"303",1531
"304",1916
"305",1487
"306",1688
"307",474
"308",447
"309",1864
"310",1004
