"","influenza_la"
"1",4628
"2",1392
"3",744
"4",4772
"5",3862
"6",3862
"7",642
"8",6020
"9",370
"10",3346
"11",3998
"12",3210
"13",1116
"14",642
"15",1986
"16",370
"17",642
"18",8258
"19",1820
"20",2658
"21",2684
"22",1452
"23",370
"24",5664
"25",1820
"26",2946
"27",8480
"28",438
"29",808
"30",2256
"31",808
"32",3772
"33",642
"34",4784
"35",1174
"36",642
"37",5448
"38",2634
"39",370
"40",808
"41",808
"42",306
"43",370
"44",370
"45",1536
"46",2132
"47",370
"48",3020
"49",1174
"50",306
"51",1174
"52",370
"53",4310
"54",370
"55",1174
"56",4656
"57",8686
"58",5328
"59",8060
"60",1032
"61",2094
"62",5798
"63",770
"64",770
"65",770
"66",770
"67",13236
"68",3552
"69",9406
"70",370
"71",750
"72",490
"73",490
"74",490
"75",11020
"76",642
"77",9436
"78",744
"79",10498
"80",1266
"81",7722
"82",620
"83",620
"84",620
"85",1394
"86",1394
"87",1394
"88",1522
"89",1394
"90",1266
"91",620
"92",1028
"93",3394
"94",5278
"95",808
"96",1028
"97",1028
"98",1642
"99",808
"100",9254
"101",1028
"102",9844
"103",6312
"104",1642
"105",1418
"106",1418
"107",1418
"108",1028
"109",1418
"110",3590
"111",1642
"112",1642
"113",7544
"114",1418
"115",1236
"116",606
"117",4448
"118",462
"119",9122
"120",1236
"121",1040
"122",606
"123",606
"124",606
"125",606
"126",606
"127",582
"128",606
"129",606
"130",606
"131",606
"132",606
"133",1304
"134",2782
"135",1562
"136",370
"137",5942
"138",12804
"139",8818
"140",6716
"141",10070
"142",3168
"143",4206
"144",808
"145",2470
"146",370
"147",808
"148",808
"149",3032
"150",1028
"151",1174
"152",642
"153",744
"154",1174
"155",2372
"156",6262
"157",370
"158",80
"159",1598
"160",370
"161",2852
"162",370
"163",744
"164",80
"165",370
"166",642
"167",370
"168",2372
"169",1174
"170",2372
"171",808
"172",462
"173",1484
"174",370
"175",1174
"176",2458
"177",678
"178",22
"179",2188
"180",6958
"181",5760
"182",2132
"183",4354
"184",9174
"185",3792
"186",1514
"187",7736
"188",8314
"189",6638
"190",2668
"191",808
"192",9736
"193",2724
"194",1028
"195",7896
"196",6318
"197",8040
"198",9744
"199",9134
"200",7736
"201",1856
"202",8172
"203",9134
"204",9652
"205",8142
"206",8462
"207",8606
"208",7798
"209",8314
"210",9208
"211",1028
"212",9318
"213",8132
"214",3012
"215",8288
"216",7832
"217",4060
"218",1662
"219",6122
"220",8572
"221",9306
"222",5422
"223",2708
"224",1436
"225",11256
"226",8942
"227",9318
"228",8552
"229",8470
"230",6528
"231",9318
"232",4644
"233",7292
"234",1104
"235",5492
"236",7954
"237",5312
"238",6566
"239",1958
"240",808
"241",8498
"242",9750
"243",9718
"244",1304
"245",9898
"246",8476
"247",1080
"248",9152
"249",8246
"250",9232
"251",9416
"252",3782
"253",7490
"254",8880
"255",9538
"256",8086
"257",5862
"258",8918
"259",8772
"260",4766
"261",8588
"262",268
"263",6578
"264",6578
"265",142
"266",8772
"267",4110
"268",9602
"269",8098
"270",8880
"271",268
"272",7490
"273",8272
"274",7380
"275",8694
"276",556
"277",7246
"278",8478
"279",268
"280",8880
"281",2240
"282",8588
"283",268
"284",8430
"285",9258
"286",7806
"287",13122
"288",6578
"289",268
"290",5408
"291",2070
"292",8588
"293",7866
"294",9152
"295",8140
"296",268
"297",9300
"298",142
"299",268
"300",8588
"301",268
"302",8880
"303",8588
"304",8660
"305",7782
"306",8992
"307",878
"308",808
"309",6336
"310",2308
"311",2020
"312",1514
"313",8218
"314",9318
"315",952
"316",2004
"317",3284
"318",124
"319",124
"320",620
"321",8754
"322",124
"323",11774
"324",4558
"325",1554
"326",2544
"327",2582
"328",9720
"329",7740
"330",4644
"331",7964
"332",808
"333",808
"334",2362
"335",9964
"336",808
"337",3910
"338",1248
"339",4778
"340",5356
"341",10380
"342",808
"343",2740
"344",808
"345",1960
"346",8752
"347",1386
"348",4644
"349",850
"350",5744
"351",8304
"352",12312
"353",3488
"354",5016
"355",3316
"356",1028
"357",5356
"358",4644
"359",6176
"360",1386
"361",2162
"362",808
"363",5632
"364",808
"365",2870
"366",2988
"367",6880
"368",6684
"369",808
"370",2762
"371",5538
"372",402
"373",402
"374",116
"375",116
"376",116
"377",116
"378",116
"379",9100
"380",770
"381",770
"382",370
"383",642
"384",642
"385",116
"386",116
"387",1688
"388",620
"389",7712
"390",6532
"391",1394
"392",5172
"393",620
"394",1028
"395",1028
"396",1360
"397",3184
