"","influenza_lev"
"1",-0.939524550316278
"2",-0.970799346131414
"3",-0.994623655913978
"4",-0.975851681959254
"5",-0.926763155479649
"6",-0.926763155479649
"7",-0.993769470404984
"8",-0.929989383069733
"9",-0.989189189189189
"10",-0.963809394464136
"11",-0.957830315478249
"12",-0.921822494973351
"13",-0.982074715408049
"14",-0.993769470404984
"15",-0.980887959742133
"16",-0.989189189189189
"17",-0.993769470404984
"18",-0.85816552581641
"19",-0.979622117652121
"20",-0.928990790516897
"21",-0.969712553120374
"22",-0.988850548270838
"23",-0.989189189189189
"24",-0.943663032789846
"25",-0.979622117652121
"26",-0.78061056128957
"27",-0.931887872975773
"28",-0.990867579908676
"29",-0.995049504950495
"30",-0.970607390265211
"31",-0.995049504950495
"32",-0.971117548949812
"33",-0.993769470404984
"34",-0.917958515155129
"35",-0.985761332816738
"36",-0.993769470404984
"37",-0.946100234345097
"38",-0.974779554854043
"39",-0.989189189189189
"40",-0.995049504950495
"41",-0.995049504950495
"42",-0.986928104575163
"43",-0.989189189189189
"44",-0.989189189189189
"45",-0.941262893542172
"46",-0.966873046947535
"47",-0.989189189189189
"48",-0.976360226434714
"49",-0.985761332816738
"50",-0.986928104575163
"51",-0.985761332816738
"52",-0.989189189189189
"53",-0.908011575219704
"54",-0.989189189189189
"55",-0.985761332816738
"56",-0.652361779181266
"57",-0.80481588902886
"58",-0.834994484006384
"59",-0.773180854953703
"60",-0.829333435616158
"61",-0.991797504813487
"62",-0.972707051220212
"63",-0.994805194805195
"64",-0.994805194805195
"65",-0.994805194805195
"66",-0.994805194805195
"67",-0.912604384849743
"68",-0.96961898081614
"69",-0.878553264421172
"70",-0.989189189189189
"71",-0.978720996038483
"72",-0.853749257278669
"73",-0.853749257278669
"74",-0.853749257278669
"75",-0.886765591950261
"76",-0.993769470404984
"77",-0.899579116138209
"78",-0.778816683455859
"79",-0.704907742685805
"80",-0.853229931975271
"81",-0.775277771459696
"82",-0.902170493865996
"83",-0.902170493865996
"84",-0.902170493865996
"85",-0.900978967880401
"86",-0.900978967880401
"87",-0.900978967880401
"88",-0.781303643735257
"89",-0.900978967880401
"90",-0.899954976072335
"91",-0.902170493865996
"92",-0.976879910213243
"93",-0.946357835413455
"94",-0.935244735376146
"95",-0.995049504950495
"96",-0.976879910213243
"97",-0.976879910213243
"98",-0.941654816654817
"99",-0.995049504950495
"100",-0.94627393291444
"101",-0.976879910213243
"102",-0.884977247895614
"103",-0.82058145006252
"104",-0.941654816654817
"105",-0.959092940364519
"106",-0.959092940364519
"107",-0.959092940364519
"108",-0.976879910213243
"109",-0.959092940364519
"110",-0.94367523366478
"111",-0.941654816654817
"112",-0.941654816654817
"113",-0.961840157047422
"114",-0.959092940364519
"115",-0.957669842389697
"116",-0.96360153256705
"117",-0.955419768334374
"118",-0.991341991341991
"119",-0.909882591128595
"120",-0.957669842389697
"121",-0.984458895119914
"122",-0.96360153256705
"123",-0.96360153256705
"124",-0.96360153256705
"125",-0.96360153256705
"126",-0.96360153256705
"127",-0.85586075345732
"128",-0.96360153256705
"129",-0.96360153256705
"130",-0.96360153256705
"131",-0.96360153256705
"132",-0.96360153256705
"133",-0.91623718921876
"134",-0.937355136147566
"135",-0.967250568488959
"136",-0.989189189189189
"137",-0.914725924441631
"138",-0.814171510485079
"139",-0.853740733114644
"140",-0.965298972324168
"141",-0.934773937695832
"142",-0.960179951292907
"143",-0.979943938222285
"144",-0.995049504950495
"145",-0.972191776615555
"146",-0.989189189189189
"147",-0.995049504950495
"148",-0.995049504950495
"149",-0.976472459880281
"150",-0.976879910213243
"151",-0.985761332816738
"152",-0.993769470404984
"153",-0.994623655913978
"154",-0.985761332816738
"155",-0.982475169952911
"156",-0.911381669872598
"157",-0.989189189189189
"158",-0.95
"159",-0.961484680887247
"160",-0.989189189189189
"161",-0.971754052747109
"162",-0.989189189189189
"163",-0.994623655913978
"164",-0.95
"165",-0.989189189189189
"166",-0.993769470404984
"167",-0.989189189189189
"168",-0.982475169952911
"169",-0.985761332816738
"170",-0.982475169952911
"171",-0.995049504950495
"172",-0.991341991341991
"173",-0.972910842310065
"174",-0.989189189189189
"175",-0.985761332816738
"176",-0.840876065515241
"177",-0.827235772357723
"178",-0.818181818181818
"179",-0.926340055498681
"180",-0.891640471441387
"181",-0.982090213642893
"182",-0.96048499346201
"183",-0.935465182468325
"184",-0.939563086508937
"185",-0.841000436847513
"186",-0.989396006015458
"187",-0.938647659459005
"188",-0.921801776500912
"189",-0.945256106062787
"190",-0.985957969605426
"191",-0.995049504950495
"192",-0.924693762293325
"193",-0.935105067305616
"194",-0.976879910213243
"195",-0.945589392289063
"196",-0.937342881177266
"197",-0.889190867929163
"198",-0.904569394257165
"199",-0.933372094402452
"200",-0.938647659459005
"201",-0.928939692900645
"202",-0.949771527299291
"203",-0.933372094402452
"204",-0.955480502426353
"205",-0.904798055005397
"206",-0.938851159662505
"207",-0.864423123259049
"208",-0.904094158505417
"209",-0.921801776500912
"210",-0.842764742794352
"211",-0.976879910213243
"212",-0.912112436051249
"213",-0.928873008894417
"214",-0.931085274175175
"215",-0.920119799531058
"216",-0.893419399476499
"217",-0.931021006757106
"218",-0.927221479842226
"219",-0.933365200139245
"220",-0.913912260607438
"221",-0.905868583425584
"222",-0.980553724339792
"223",-0.85705474051319
"224",-0.887070351084245
"225",-0.798547925715574
