"","influenza_lin"
"1",858.135675082327
"2",778.491933877714
"3",751.116064565719
"4",955.932501834189
"5",915.840674789128
"6",915.840674789128
"7",743.826450999049
"8",965.853224610823
"9",725.061769616027
"10",876.414349775785
"11",895.283554741182
"12",859.078681318681
"13",772.186487554326
"14",743.826450999049
"15",807.604958677686
"16",725.061769616027
"17",743.826450999049
"18",976.225774225774
"19",784.586109995986
"20",829.191344929996
"21",863.252650176678
"22",789.977364591754
"23",725.061769616027
"24",947.130603343833
"25",784.586109995986
"26",852.706806282722
"27",1016.33073322933
"28",727.220093023256
"29",756.348297213622
"30",818.427135678392
"31",756.348297213622
"32",912.420168067227
"33",743.826450999049
"34",881.752312203925
"35",767.185083415113
"36",743.826450999049
"37",970.168279970216
"38",823.600505689001
"39",725.061769616027
"40",756.348297213622
"41",756.348297213622
"42",715.898901098901
"43",725.061769616027
"44",725.061769616027
"45",793.505481120585
"46",798.857142857143
"47",725.061769616027
"48",866.69800443459
"49",767.185083415113
"50",715.898901098901
"51",767.185083415113
"52",725.061769616027
"53",893.033584647019
"54",725.061769616027
"55",767.185083415113
"56",885.949229374433
"57",1042.90501600854
"58",928.457957244656
"59",1032.43740095087
"60",770.208472906404
"61",844.417368762152
"62",981.372834546824
"63",753.723100655611
"64",753.723100655611
"65",753.723100655611
"66",753.723100655611
"67",1179.12760180995
"68",892.218215019402
"69",1015.27480519481
"70",725.061769616027
"71",748.383687535899
"72",729.255223880597
"73",729.255223880597
"74",729.255223880597
"75",1090.62723214286
"76",743.826450999049
"77",1001.48808608762
"78",742.836944127708
"79",1062.75367047308
"80",782.074429771909
"81",1063.33188248096
"82",738.486302663896
"83",738.486302663896
"84",738.486302663896
"85",773.102848101266
"86",773.102848101266
"87",773.102848101266
"88",777.099005964215
"89",773.102848101266
"90",772.186487554326
"91",738.486302663896
"92",764.185337243402
"93",865.738205980066
"94",943.017611580217
"95",756.348297213622
"96",764.185337243402
"97",764.185337243402
"98",789.339256865913
"99",756.348297213622
"100",999.950882578665
"101",764.185337243402
"102",1010.02790697674
"103",927.576649264357
"104",789.339256865913
"105",781.605278944211
"106",781.605278944211
"107",781.605278944211
"108",764.185337243402
"109",781.605278944211
"110",906.075104311544
"111",789.339256865913
"112",789.339256865913
"113",996.636409994901
"114",781.605278944211
"115",780.356957476542
"116",732.672539831303
"117",879.767724510466
"118",727.897206703911
"119",1024.05239717055
"120",780.356957476542
"121",770.056737588652
"122",732.672539831303
"123",732.672539831303
"124",732.672539831303
"125",732.672539831303
"126",732.672539831303
"127",732.672539831303
"128",732.672539831303
"129",732.672539831303
"130",732.672539831303
"131",732.672539831303
"132",732.672539831303
"133",775.249504165014
"134",848.265625
"135",786.638760313946
"136",725.061769616027
"137",944.15652173913
"138",1154.06200177148
"139",962.760591133005
"140",953.135332845647
"141",1119.04036644718
"142",882.747967479675
"143",866.313829787234
"144",756.348297213622
"145",837.362467866324
"146",725.061769616027
"147",756.348297213622
"148",756.348297213622
"149",861.540224818162
"150",764.185337243402
"151",767.185083415113
"152",743.826450999049
"153",751.116064565719
"154",767.185083415113
"155",848.633955709944
"156",982.359386780598
"157",725.061769616027
"158",703.402555335613
"159",797.390452876377
"160",725.061769616027
"161",874.25810780586
"162",725.061769616027
"163",751.116064565719
"164",703.402555335613
