"","influenza_lob"
"1",5
"2",3
"3",1
"4",5
"5",6
"6",6
"7",1
"8",9
"9",1
"10",5
"11",6
"12",6
"13",2
"14",1
"15",3
"16",1
"17",1
"18",12
"19",3
"20",5
"21",4
"22",2
"23",1
"24",7
"25",3
"26",8
"27",11
"28",1
"29",1
"30",4
"31",1
"32",5
"33",1
"34",8
"35",2
"36",1
"37",8
"38",4
"39",1
"40",1
"41",1
"42",1
"43",1
"44",1
"45",3
"46",4
"47",1
"48",4
"49",2
"50",1
"51",2
"52",1
"53",8
"54",1
"55",2
"56",5
"57",13
"58",10
"59",11
"60",3
"61",2
"62",6
"63",1
"64",1
"65",1
"66",1
"67",16
"68",5
"69",12
"70",1
"71",2
"72",3
"73",3
"74",3
"75",14
"76",1
"77",12
"78",4
"79",16
"80",4
"81",12
"82",2
"83",2
"84",2
"85",3
"86",3
"87",3
"88",5
"89",3
"90",3
"91",2
"92",2
"93",6
"94",7
"95",1
"96",2
"97",2
"98",4
"99",1
"100",10
"101",2
"102",13
"103",10
"104",4
"105",3
"106",3
"107",3
"108",2
"109",3
"110",6
"111",4
"112",4
"113",8
"114",3
"115",3
"116",2
"117",5
"118",1
"119",11
"120",3
"121",2
"122",2
"123",2
"124",2
"125",2
"126",2
"127",3
"128",2
"129",2
"130",2
"131",2
"132",2
"133",4
"134",5
"135",3
"136",1
"137",9
"138",18
"139",12
"140",7
"141",12
"142",5
"143",4
"144",1
"145",4
"146",1
"147",1
"148",1
"149",4
"150",2
"151",2
"152",1
"153",1
"154",2
"155",3
"156",11
"157",1
"158",1
"159",3
"160",1
"161",4
"162",1
"163",1
"164",1
"165",1
"166",1
"167",1
"168",3
"169",2
"170",3
"171",1
"172",1
"173",3
"174",1
"175",2
"176",4
"177",2
"178",1
"179",5
"180",10
"181",5
"182",3
"183",6
"184",10
"185",9
"186",2
"187",9
"188",10
"189",8
"190",3
"191",1
"192",12
"193",5
"194",2
"195",9
"196",8
"197",11
"198",13
"199",10
"200",9
"201",4
"202",9
"203",10
"204",10
"205",12
"206",9
"207",12
"208",10
"209",10
"210",12
"211",2
"212",11
"213",10
"214",6
"215",10
"216",11
"217",6
"218",4
"219",8
"220",10
"221",12
"222",5
"223",8
"224",5
"225",18
"226",11
"227",11
"228",11
"229",10
"230",6
"231",11
"232",4
"233",8
"234",3
"235",8
"236",9
"237",6
"238",7
"239",4
"240",1
"241",11
"242",13
"243",14
"244",4
"245",11
"246",11
"247",3
"248",10
"249",10
"250",10
"251",11
"252",9
"253",9
"254",12
"255",12
"256",11
"257",6
"258",12
"259",11
"260",6
"261",10
"262",2
"263",7
"264",7
"265",1
"266",11
"267",5
"268",12
"269",10
"270",12
"271",2
"272",10
"273",11
"274",10
"275",11
"276",3
