"influenza.Num","influenza_nodes"
"1","P15311"
"2","P49736"
"3","P35520"
"4","P02511"
"5","O14641"
"6","Q92997"
"7","Q06547"
"8","O00505"
"9","O14639"
"10","P43360"
"11","P43364"
"12","P50222"
"13","Q13126"
"14","Q16656"
"15","P45984"
"16","Q99942"
"17","Q8IUQ4"
"18","O95793"
"19","Q99081"
"20","Q12800"
"21","Q13077"
"22","P63279"
"23","P10746"
"24","Q13155"
"25","O14503"
"26","O75569"
"27","P51116"
"28","Q9Y5P4"
"29","O75608"
"30","O43889"
"31","O75525"
"32","Q93062"
"33","Q9UKT9"
"34","O60684"
"35","Q9UJ41"
"36","Q9NZF1"
"37","Q9UJC3"
"38","Q8N9N5"
"39","Q7LBR1"
"40","Q96AT1"
"41","Q9HA38"
"42","Q96IK5"
"43","Q96T21"
"44","Q96FZ7"
"45","Q9H898"
"46","Q8NHQ1"
"47","Q9BXR0"
"48","Q8N6Y0"
"49","Q6P1W5"
"50","Q96MC5"
"51","Q96DZ9"
"52","Q96D05"
"53","Q8N448"
"54","Q8N661"
"55","Q8N5I3"
"56","Q14258"
"57","Q9Y224"
"58","P24928"
"59","O43707"
"60","P34949"
"61","Q9H0E9"
"62","Q96P70"
"63","Q15038"
"64","Q96EB1"
"65","P02794"
"66","P49848"
"67","P46781"
"68","Q9Y287"
"69","P62913"
"70","Q13315"
"71","Q9NTK5"
"72","P06396"
"73","Q32MZ4"
"74","Q8NBZ7"
"75","P68104"
"76","Q8NF05"
"77","P62917"
"78","P02795"
"79","P29692"
"80","Q7Z3B4"
"81","P12004"
"82","P59910"
"83","P15104"
"84","Q9BRH9"
"85","P23141"
"86","Q13111"
"87","Q13287"
"88","O14818"
"89","Q8TDD1"
"90","P25685"
"91","Q16587"
"92","Q9NX74"
"93","P18583"
"94","Q9NUL3"
"95","O14908"
"96","O14907"
"97","P49589"
"98","Q9UBW7"
"99","Q92966"
"100","P40429"
"101","Q07817"
"102","P62750"
"103","Q49A26"
