"","influenza_rad"
"1",3.74427753934192
"2",3.41094420600858
"3",3.28004291845494
"4",4.07761087267525
"5",3.94957081545064
"6",3.94957081545064
"7",3.24356223175966
"8",4.10765379113019
"9",3.14628040057225
"10",3.81223175965665
"11",3.87947067238913
"12",3.74785407725322
"13",3.38161659513591
"14",3.24356223175966
"15",3.54041487839771
"16",3.14628040057225
"17",3.24356223175966
"18",4.13841201716738
"19",3.43884120171674
"20",3.63054363376252
"21",3.76359084406295
"22",3.46316165951359
"23",3.14628040057225
"24",4.05042918454936
"25",3.43884120171674
"26",3.72353361945637
"27",4.25143061516452
"28",3.15772532188841
"29",3.30579399141631
"30",3.58619456366237
"31",3.30579399141631
"32",3.93812589413448
"33",3.24356223175966
"34",3.83154506437768
"35",3.35801144492132
"36",3.24356223175966
"37",4.12052932761087
"38",3.60765379113019
"39",3.14628040057225
"40",3.30579399141631
"41",3.30579399141631
"42",3.09692417739628
"43",3.14628040057225
"44",3.14628040057225
"45",3.47889842632332
"46",3.50250357653791
"47",3.14628040057225
"48",3.77646638054363
"49",3.35801144492132
"50",3.09692417739628
"51",3.35801144492132
"52",3.14628040057225
"53",3.87160228898426
"54",3.14628040057225
"55",3.35801144492132
"56",3.84656652360515
"57",4.32153075822604
"58",3.99105865522175
"59",4.29434907010014
"60",3.37231759656652
"61",3.69134477825465
"62",4.15343347639485
"63",3.29291845493562
"64",3.29291845493562
"65",3.29291845493562
"66",3.29291845493562
"67",4.63125894134478
"68",3.86874105865522
"69",4.24856938483548
"70",3.14628040057225
"71",3.26645207439199
"72",3.16845493562232
"73",3.16845493562232
"74",3.16845493562232
"75",4.43884120171674
"76",3.24356223175966
"77",4.21065808297568
"78",3.23855507868383
"79",4.37160228898426
"80",3.42739628040057
"81",4.37303290414878
"82",3.21638054363376
"83",3.21638054363376
"84",3.21638054363376
"85",3.38590844062947
"86",3.38590844062947
"87",3.38590844062947
"88",3.40450643776824
"89",3.38590844062947
"90",3.38161659513591
"91",3.21638054363376
"92",3.34370529327611
"93",3.77288984263233
"94",4.03755364806867
"95",3.30579399141631
"96",3.34370529327611
"97",3.34370529327611
"98",3.46030042918455
"99",3.30579399141631
"100",4.20636623748212
"101",3.34370529327611
"102",4.23426323319027
"103",3.9881974248927
"104",3.46030042918455
"105",3.42525035765379
