"","influenza_res"
"1",369.6875
"2",282.265625
"3",247.90625
"4",457.0625
"5",424.015625
"6",424.015625
"7",238.34375
"8",465.6875
"9",212.84375
"10",387.828125
"11",405.640625
"12",371.140625
"13",274.296875
"14",238.34375
"15",316.109375
"16",212.84375
"17",238.34375
"18",474.3125
"19",289.578125
"20",340.203125
"21",374.890625
"22",295.671875
"23",212.84375
"24",450.3125
"25",289.578125
"26",364.8125
"27",503.75
"28",218.28125
"29",254.234375
"30",328.390625
"31",254.234375
"32",420.828125
"33",238.34375
"34",393.125
"35",268.203125
"36",238.34375
"37",468.96875
"38",333.921875
"39",212.84375
"40",254.234375
"41",254.234375
"42",205.0625
"43",212.84375
"44",212.84375
"45",299.984375
"46",306.453125
"47",212.84375
"48",378.265625
"49",268.203125
"50",205.0625
"51",268.203125
"52",212.84375
"53",403.859375
"54",212.84375
"55",268.203125
"56",396.5
"57",522.5
"58",435.640625
"59",515
"60",272.234375
"61",355.25
"62",477.125
"63",250.71875
"64",250.71875
"65",250.71875
"66",250.71875
"67",604.25
"68",402.40625
"69",503.1875
"70",212.84375
"71",244.296875
"72",218.796875
"73",218.796875
"74",218.796875
"75",553.4375
"76",238.34375
"77",493.25
"78",238.15625
"79",536.1875
"80",286.53125
"81",535.8125
"82",232.34375
"83",232.34375
"84",232.34375
"85",275.46875
"86",275.46875
"87",275.46875
"88",280.71875
"89",275.46875
"90",274.671875
"91",232.34375
"92",264.359375
"93",377.375
"94",446.9375
"95",254.234375
"96",264.359375
"97",264.359375
"98",295.296875
"99",254.234375
"100",491.75
"101",264.359375
"102",499.625
"103",434.5625
"104",295.296875
"105",285.921875
"106",285.921875
"107",285.921875
"108",264.359375
"109",285.921875
"110",415.0625
"111",295.296875
"112",295.296875
"113",488.9375
"114",285.921875
"115",284.515625
"116",227
"117",390.6875
"118",220.25
"119",509.1875
"120",284.515625
"121",271.765625
"122",227
"123",227
"124",227
"125",227
"126",227
"127",226.953125
"128",227
"129",227
"130",227
"131",227
"132",227
"133",278.421875
"134",359.9375
"135",292.109375
"136",212.84375
"137",448.25
"138",591.125
"139",463.8125
"140",455.1875
"141",570.125
"142",393.5
"143",377.5625
"144",254.234375
"145",348.640625
"146",212.84375
"147",254.234375
"148",254.234375
"149",373.203125
"150",264.359375
"151",268.203125
"152",238.34375
"153",247.90625
"154",268.203125
"155",360.078125
"156",478.8125
"157",212.84375
"158",184.578125
"159",304.484375
"160",212.84375
"161",385.484375
"162",212.84375
"163",247.90625
"164",184.578125
"165",212.84375
"166",238.34375
"167",212.84375
"168",360.078125
"169",268.203125
"170",360.078125
"171",254.234375
"172",220.25
"173",286.015625
"174",212.84375
"175",268.203125
"176",348.359375
"177",240.921875
"178",155.9375
"179",330.921875
"180",461
"181",463.625
"182",346.296875
"183",385.0625
"184",490.625
"185",412.4375
"186",300.734375
"187",456.875
"188",458
"189",458.1875
"190",348.6875
"191",254.234375
"192",517.4375
"193",352.0625
"194",264.359375
"195",464
"196",466.0625
"197",491.1875
"198",550.4375
"199",492.5
"200",456.875
"201",329.375
"202",455.375
"203",492.5
"204",515.1875
"205",529.4375
"206",489.6875
"207",460.25
"208",458.375
"209",458
"210",500.375
"211",264.359375
"212",493.25
"213",468.5
"214",350.421875
"215",461
"216",477.3125
"217",389.75
"218",312.546875
"219",450.6875
"220",487.625
"221",516.3125
"222",442.0625
"223",347.421875
"224",281.796875
"225",554.5625
"226",493.0625
"227",493.25
"228",462.6875
"229",470.375
"230",443.9375
"231",493.25
"232",396.125
"233",457.4375
"234",269.046875
"235",447.5
"236",486.875
"237",425.5625
"238",445.8125
"239",335.9375
"240",254.234375
"241",458.5625
"242",495.875
"243",542.1875
"244",278.421875
"245",518.1875
"246",459.125
"247",269.421875
"248",492.5
"249",481.8125
"250",528.3125
"251",494.1875
"252",401
"253",451.4375
"254",463.25
"255",510.875
"256",438.3125
"257",410.75
"258",463.625
"259",461.5625
"260",390.5
"261",460.8125
"262",198.5
"263",417.5
"264",417.5
"265",184.0625
"266",461.5625
"267",363.125
"268",494.75
"269",458.5625
"270",463.25
"271",198.5
"272",425.375
"273",458.75
"274",471.125
"275",462.6875
"276",215.84375
"277",421.0625
"278",470.375
"279",198.5
"280",463.25
"281",359.1875
"282",460.8125
"283",198.5
"284",460.4375
"285",494.1875
"286",491.75
"287",587
"288",417.5
"289",198.5
"290",416.375
"291",330.265625
"292",460.8125
"293",454.625
"294",492.5
"295",446.5625
"296",198.5
"297",488.375
"298",184.0625
"299",198.5
"300",460.8125
"301",198.5
"302",463.25
"303",460.8125
"304",533
"305",451.8125
"306",489.875
"307",259.671875
"308",254.234375
"309",522.5
"310",359.375
"311",310.671875
"312",300.734375
"313",497.75
"314",493.25
"315",264.171875
"316",343.484375
"317",360.921875
"318",181.109375
"319",181.109375
"320",223.484375
"321",471.5
"322",181.109375
"323",572.375
"324",421.25
"325",309.734375
"326",368
"327",364.8125
"328",518.5625
"329",502.8125
"330",396.125
"331",490.625
"332",254.234375
"333",254.234375
"334",353.046875
"335",529.625
"336",254.234375
"337",404.1875
"338",282.734375
"339",420.125
"340",403.25
"341",578.375
"342",254.234375
"343",348.546875
"344",254.234375
"345",332.9375
"346",467.9375
"347",301.296875
"348",396.125
"349",257.796875
"350",415.8125
"351",486.5
"352",598.8125
"353",380.5625
"354",455.9375
"355",369.5
"356",264.359375
"357",403.25
"358",396.125
"359",470.9375
"360",301.296875
"361",350.9375
"362",254.234375
"363",465.875
"364",254.234375
"365",360.3125
"366",387.875
"367",457.0625
"368",452.75
"369",254.234375
"370",394.109375
"371",416.375
"372",210.921875
"373",210.921875
"374",175.390625
"375",175.390625
"376",175.390625
"377",175.390625
"378",175.390625
"379",504.875
"380",250.71875
"381",250.71875
"382",212.84375
"383",238.34375
"384",238.34375
"385",175.390625
"386",175.390625
"387",324.5
"388",232.34375
"389",491.375
"390",456.3125
"391",275.46875
"392",441.3125
"393",232.34375
"394",264.359375
"395",264.359375
"396",283.484375
"397",371.046875
"398",365.046875
"399",254.234375
"400",390.3125
"401",254.234375
"402",295.296875
"403",364.4375
"404",279.921875
"405",264.171875
"406",285.921875
"407",196.671875
"408",227
"409",227
"410",227
"411",482.28125
"412",285.078125
"413",419
"414",401.5625
"415",290.234375
"416",290.234375
"417",290.234375
"418",290.234375
"419",290.234375
"420",290.234375
"421",441.59375
"422",290.234375
"423",290.234375
"424",290.234375
"425",290.234375
"426",290.234375
"427",290.234375
"428",290.234375
"429",290.234375
"430",537.125
"431",290.234375
"432",290.234375
"433",290.234375
"434",290.234375
"435",290.234375
"436",290.234375
"437",290.234375
"438",290.234375
"439",290.234375
"440",290.234375
"441",290.234375
"442",290.234375
"443",290.234375
"444",290.234375
"445",290.234375
"446",290.234375
"447",290.234375
"448",290.234375
"449",290.234375
"450",290.234375
"451",290.234375
"452",290.234375
"453",290.234375
"454",290.234375
"455",290.234375
"456",290.234375
"457",290.234375
"458",290.234375
"459",290.234375
"460",290.234375
"461",577.8125
"462",290.234375
"463",442.25
"464",517.625
"465",452.5625
"466",375.828125
"467",492.5
"468",409.625
"469",290.234375
"470",290.234375
"471",460.4375
"472",290.234375
"473",290.234375
"474",302.796875
"475",470.375
"476",457.4375
"477",456.5
"478",290.234375
"479",290.234375
"480",290.234375
"481",290.234375
"482",290.234375
"483",312.921875
"484",517.8125
"485",491.75
"486",290.234375
"487",290.234375
"488",290.234375
"489",290.234375
"490",290.234375
"491",290.234375
"492",290.234375
"493",290.234375
"494",290.234375
"495",290.234375
"496",290.234375
"497",290.234375
"498",290.234375
"499",290.234375
"500",290.234375
"501",290.234375
"502",290.234375
"503",290.234375
"504",290.234375
"505",290.234375
"506",290.234375
"507",290.234375
"508",290.234375
"509",290.234375
"510",360.265625
"511",290.234375
"512",290.234375
"513",290.234375
"514",290.234375
"515",290.234375
"516",290.234375
"517",290.234375
"518",290.234375
"519",290.234375
"520",290.234375
"521",290.234375
"522",316.859375
"523",290.234375
"524",290.234375
"525",290.234375
"526",290.234375
"527",290.234375
"528",290.234375
"529",290.234375
"530",290.234375
"531",290.234375
"532",290.234375
"533",290.234375
"534",290.234375
"535",290.234375
"536",290.234375
"537",290.234375
"538",290.234375
"539",290.234375
"540",290.234375
"541",313.953125
"542",348.546875
"543",290.234375
"544",290.234375
"545",290.234375
"546",581.9375
"547",525.6875
"548",290.234375
"549",511.25
"550",290.234375
"551",437.75
