"","influenza_sub"
"1",25901695828217409536
"2",649431987666817536
"3",175973583088175200
"4",16990693885034674176
"5",7235493663478916096
"6",7235493663479165952
"7",171947186189313472
"8",31055353289850257408
"9",52597684535322640
"10",8003778313342367744
"11",10521979668027052032
"12",3344227022596114944
"13",581653278267450496
"14",171947186189320416
"15",1680197444157924096
"16",52597684535322760
"17",171947186189320416
"18",6.9506396175465e+19
"19",1218860271354875904
"20",2450329118571256320
"21",3879647374461672448
"22",1043532840745831552
"23",52597684535322760
"24",26556697218349645824
"25",1218860271354875904
"26",6408202316894448640
"27",59752198376874614784
"28",76175948394433184
"29",368290471918233344
"30",1607821243338772992
"31",368290471918233152
"32",7012151250209162240
"33",171947186189320416
"34",22920203101658423296
"35",475210179224960256
"36",171947186189320416
"37",15119829048837677056
"38",2927142718926120448
"39",52597684535322744
"40",368290471918233152
"41",368290471918233152
"42",24271323577347736
"43",52597684535322744
"44",52597684535322744
"45",1130766734713593472
"46",1587127827373078784
"47",52597684535322744
"48",4966455749341474816
"49",475210179224960256
"50",24271323577347736
"51",475210179224960256
"52",52597684535322744
"53",7169348296081339392
"54",52597684535322744
"55",475210179224960256
"56",22657839440020566016
"57",59291961562819600384
"58",19566930743450243072
"59",49869613981396279296
"60",236378255390245120
"61",3366339578345142272
"62",22029849924177403904
"63",161469420152376160
"64",161469420152376160
"65",161469420152376160
"66",161469420152376160
"67",1.39346215947218e+20
"68",4353897903050805248
"69",94828727924529250304
"70",52597684535322744
"71",221704070927723840
"72",75201534415794400
"73",75201534415794400
"74",75201534415794400
"75",1.15800591499803e+20
"76",171947186189320416
"77",99273284856527667200
"78",114055330277609840
"79",1.02358171486774e+20
"80",457059231392927040
"81",34687651524623302656
"82",85751550453077200
"83",85751550453077200
"84",85751550453077200
"85",482561176482668544
"86",482561176482668544
"87",482561176482668544
"88",546939179260783936
"89",482561176482668544
"90",500554560572336704
"91",85751550453077200
"92",579329571221420288
"93",3910522176280230400
"94",23901857545695612928
"95",368290471918233152
"96",579329571221420288
"97",579329571221420288
"98",1136192156080909312
"99",368290471918233152
"100",9.465950824122e+19
"101",579329571221420288
"102",1.06297540603433e+20
"103",37474661436794134528
"104",1136192156080909312
"105",831115795930697984
"106",831115795930697984
"107",831115795930697984
"108",579329571221420288
"109",831115795930697984
"110",4143766132328461312
"111",1136192156080909312
"112",1136192156080909312
"113",4.9408788886239e+19
"114",831115795930697984
"115",287025736212196960
"116",92894580277328896
"117",19857879322520227840
"118",72154494090964848
"119",81492217513593274378
"120",287025736212196960
"121",300197672085841152
"122",92894580277328896
"123",92894580277328896
"124",92894580277328896
"125",92894580277328896
"126",92894580277328896
"127",98284141464982720
"128",92894580277328896
"129",92894580277328896
"130",92894580277328896
"131",92894580277328896
"132",92894580277328896
"133",732627862376825984
"134",3166166822566471680
"135",533748620204182272
"136",52597684535322744
"137",26225271648099090432
"138",1.32984482606298e+20
"139",90733118602016817152
"140",43167780301755785216
"141",63406171672357249024
"142",5259705426469625856
"143",19191178913788420096
"144",368290471918233152
"145",1882979564137028864
"146",52597684535322744
"147",368290471918233152
"148",368290471918233152
"149",7146545710057350144
"150",579329571221420288
"151",475210179224960256
"152",171947186189320416
"153",175973583087698848
"154",475210179224960256
"155",3290195057333862400
"156",11790494859839504384
"157",52597684535322744
"158",1750636635600099
"159",1428418952017015296
"160",52597684535322744
"161",5564913647040620544
"162",52597684535322744
"163",175973583087698848
"164",1750636635600099
"165",52597684535322744
"166",171947186189320416
"167",52597684535322744
"168",3290195057333862400
"169",475210179224960256
"170",3290195057333862400
"171",368290471918233152
"172",72154494090964848
"173",714274240163931648
"174",52597684535322744
"175",475210179224960256
"176",5184490301995285504
"177",762348856152370176
"178",188046259514449
"179",1897673851573346560
"180",42931871086824488960
"181",30135294156142092288
"182",3461632449281669120
"183",20282207185294798848
"184",93338025815585669120
"185",7713365439224946688
"186",2258911999442773248
